training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,step
7.419739,-0.27165934,-7.609063,0.06438875,1.0,0.9990587,0.18066406,0.004996276,-10.206156,-10.212248,-3.9734876,21.10741,0.2828188,6.3176444e-06,0.067740016,-0.055290375,1.117249,0.99906063,0.17675781,0.0050127325,-10.134478,-10.140503,-3.9698038,34.46321,0.31412724,5.0071712e-06,7.5157814,-0.2331722,-7.661025,0.077379175,1.0,0.99870205,0.08691406,0.00622427,-9.89841,-9.903808,-4.375886,167.64938,0.8375387,9.041598e-07,0.99872017,0.06738281,0.0061664265,-9.838427,-9.843694,-4.4500384,45.530685,0.53621554,1.3170009e-06,30000
7.33902,-0.34691262,-7.571875,0.05509172,1.0,0.99906254,0.2109375,0.004951733,-10.470088,-10.476458,-3.9542997,67.102905,0.45495605,3.8127805e-06,0.0586393,-0.061998498,1.171294,0.9990635,0.18261719,0.0050046938,-10.407169,-10.41342,-4.0125484,21.23913,0.3949649,5.319665e-06,7.453208,-0.30672833,-7.650091,0.07464579,1.0,0.9985647,0.09082031,0.0063113933,-10.242059,-10.247808,-4.3611717,91.23531,0.563246,1.1968778e-07,0.99859333,0.0859375,0.0061478037,-10.140624,-10.146243,-4.391967,20.630333,0.38112965,1.534681e-06,60000
7.3701954,-0.3174336,-7.578059,0.056637816,1.0,0.999074,0.20898438,0.004772622,-10.689442,-10.696185,-3.7912006,42.776264,0.3825066,4.0541e-06,0.12003757,-0.062060244,1.2743757,0.9990711,0.21875,0.004802352,-10.647154,-10.653814,-3.8339078,16.867117,0.3406049,7.337323e-06,7.3792586,-0.43498147,-7.6570077,0.07637489,1.0,0.9985485,0.107421875,0.0062397504,-10.611589,-10.617652,-4.4098387,21.240225,0.39061135,1.048822e-09,0.99849415,0.08300781,0.0062098606,-10.550414,-10.556377,-4.450218,64.38869,0.31163007,4.1207647e-07,90000
7.324686,-0.3747057,-7.5702753,0.054691825,1.0,0.9990797,0.25390625,0.0046682684,-10.893617,-10.900641,-3.707872,37.918056,0.38593465,5.0623594e-06,0.067339025,-0.057662748,1.1947541,0.9990835,0.234375,0.0047012554,-10.829766,-10.836704,-3.7329805,61.074295,0.4159994,6.5148943e-06,7.342952,-0.4597539,-7.636574,0.07126637,1.0,0.99876404,0.10644531,0.006121216,-10.406552,-10.412135,-4.695017,17.33222,0.22068831,5.594147e-09,0.9988575,0.09863281,0.0061134174,-10.329443,-10.334935,-4.7119694,151.59299,0.51567096,1.6375262e-08,120000
7.342983,-0.34177548,-7.556593,0.051271085,1.0,0.99909115,0.26660156,0.0046171956,-10.97281,-10.980087,-3.5289927,72.98094,0.6690022,6.776075e-07,0.101020254,-0.10308832,1.2531741,0.99908257,0.23242188,0.0046679894,-10.892382,-10.899548,-3.5622034,74.5714,0.69688785,7.1678835e-07,7.4322443,-0.3861097,-7.659451,0.07698566,1.0,0.9988184,0.11425781,0.005946328,-10.490058,-10.496,-4.4096675,68.2134,0.3377563,6.279312e-09,0.99886036,0.09667969,0.005978984,-10.395972,-10.401755,-4.478843,80.893555,0.41222823,3.3518628e-08,150000
7.3117647,-0.3621543,-7.546812,0.04882589,1.0,0.99908257,0.25976562,0.004586002,-11.11034,-11.117678,-3.603176,66.2757,0.4306599,4.2747074e-06,0.05868149,-0.072023086,1.2180214,0.99907684,0.25,0.0045797573,-11.064294,-11.071593,-3.5973382,282.04776,0.6090255,5.9391355e-06,7.395886,-0.39362442,-7.627988,0.06911992,1.0,0.99889755,0.11621094,0.005762077,-10.68812,-10.694154,-4.5157833,53.881958,0.18528578,7.816254e-08,0.9989033,0.11035156,0.005762346,-10.588018,-10.593881,-4.590828,35.713867,0.14994112,4.7952632e-08,180000
7.240717,-0.45846227,-7.543866,0.048089646,1.0,0.99909496,0.25,0.0046589337,-11.252051,-11.259483,-3.6501951,28.504097,0.42389226,3.6461345e-06,0.09069242,-0.071303956,1.2786877,0.9990883,0.234375,0.004674242,-11.148553,-11.155901,-3.6312475,40.739655,0.48199588,1.2877213e-06,7.386298,-0.503098,-7.6589594,0.07686275,1.0,0.99881935,0.099609375,0.006064937,-10.93494,-10.941124,-4.6104364,60.15329,0.2755608,1.4263827e-13,0.9988222,0.09667969,0.0062575904,-10.785722,-10.791681,-4.689354,81.403,0.62092495,4.1580575e-09,210000
7.311577,-0.36666256,-7.5463486,0.048710153,1.0,0.99908257,0.25195312,0.004499459,-11.351478,-11.359175,-3.47824,21.429363,0.43452132,1.1266613e-06,0.1268077,-0.09590413,1.3290848,0.9990759,0.24414062,0.004589559,-11.307256,-11.314818,-3.5691538,55.883793,0.45404297,1.4297457e-05,7.339759,-0.50573814,-7.637092,0.07139599,1.0,0.9988136,0.10058594,0.0060697193,-10.822636,-10.828753,-4.564601,56.33598,0.31367013,1.9987372e-09,0.9988022,0.095703125,0.006218614,-10.737323,-10.743331,-4.5905986,29.929161,0.37612665,4.8369164e-10,240000
7.3078856,-0.37576097,-7.5474396,0.048982903,1.0,0.9990921,0.2685547,0.0045749177,-11.506199,-11.513954,-3.5721736,35.38201,0.42324996,3.551278e-07,0.06537976,-0.08255789,1.3702338,0.99909496,0.25195312,0.00457166,-11.424841,-11.432518,-3.5710485,26.42,0.39587656,5.8511746e-06,7.28811,-0.57217133,-7.64261,0.07277549,1.0,0.99887276,0.10839844,0.005796709,-10.967198,-10.973531,-4.4893913,26.532835,0.19679716,7.4775014e-10,0.9987955,0.08203125,0.0059866095,-10.821302,-10.827505,-4.4751806,18.74023,0.25570306,1.9701831e-09,270000
7.2855334,-0.39974394,-7.5400424,0.047133565,1.0,0.99909306,0.24609375,0.0045779776,-11.471952,-11.479668,-3.5800986,40.84853,0.47369838,2.6377359e-06,0.055634946,-0.056092225,1.1606826,0.9990959,0.2265625,0.004582963,-11.407318,-11.414961,-3.5895274,23.824259,0.47320986,4.2463876e-06,7.3948436,-0.46194613,-7.6392064,0.07192461,1.0,0.9987459,0.11035156,0.0061170068,-11.07157,-11.07795,-4.5461845,74.30483,0.31727484,1.0355461e-08,0.99873924,0.10058594,0.0063232933,-10.953478,-10.959701,-4.587672,186.75923,0.7319808,8.436774e-09,300000
