training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,step
1.9189517,-9.318117,0.93181175,0.49165225,3.8213105,0.98713994,-3.772169,1.0,0.99903965,0.171875,0.004276096,-16.170753,-16.183395,-3.2388892,67.75473,0.28527403,1.9641577e-05,3.6231394,-2.97926,94.11624,4.490942,1.0313044,-21.931698,-62.286705,2.9624033,-21.453474,-61.344604,1.7019556,1.9173889,-9.358513,0.93585134,0.5017513,3.916019,0.98153764,-3.843721,1.0,0.99900436,0.14648438,0.004442417,-15.990725,-16.003027,-3.4074702,35.717068,0.23916803,1.5586504e-05,4.2764454,0.0,-23.343868,-61.32663,2.8823447,-22.991926,-61.66875,1.4295907,30000
1.9025078,-9.343449,0.9343448,0.49798506,3.8291583,0.968163,-3.7072504,1.0,0.9990587,0.20117188,0.004159551,-14.862179,-14.873661,-3.1158328,90.59017,0.5541272,1.274042e-05,3.9687402,-3.2594619,92.28694,4.7568407,0.072280645,-28.310528,-78.02337,2.7039447,-27.83412,-77.94822,1.6703715,1.9086245,-9.350281,0.9350281,0.49969307,3.9167519,0.97359645,-3.8133364,1.0,0.99902344,0.16796875,0.0044129356,-14.862653,-14.873912,-3.344411,118.874245,0.5323516,8.546138e-07,5.2215834,0.63860035,-28.463196,-78.04335,2.242807,-27.995201,-78.492096,1.4680252,60000
1.8946459,-9.31764,0.93176395,0.4915329,3.6940112,0.96288204,-3.5568979,1.0,0.99905586,0.234375,0.0039966768,-15.880608,-15.893261,-2.935893,98.730545,0.7205595,0.00019110985,12.27267,-11.81355,145.01135,5.2877917,1.4584949,-31.710295,-83.201416,2.6628523,-31.377884,-83.41259,1.5108839,1.9127758,-9.336597,0.9336597,0.49627224,3.8920317,0.97911614,-3.810752,1.0,0.99902916,0.20019531,0.0042827176,-15.806756,-15.819049,-3.2316504,65.366936,0.48373199,1.3950056e-05,5.0522614,1.7018082,-30.375156,-82.81748,2.3249063,-29.960438,-82.377716,1.5578859,90000
1.90506,-9.316365,0.9316365,0.4912142,3.8884249,0.9734236,-3.7850854,1.0,0.9990568,0.23730469,0.004048846,-16.134443,-16.14717,-3.1140044,35.133263,0.38772,2.5308467e-05,12.000484,-9.252917,136.80084,4.2333527,0.4743606,-31.842285,-85.14555,2.5286822,-31.539526,-86.08722,1.3957958,1.9117751,-9.305548,0.93055475,0.48850983,4.029315,0.9812203,-3.9536464,1.0,0.999033,0.19335938,0.004232376,-16.013065,-16.025484,-3.309616,244.25548,0.46752945,5.2099997e-05,5.141711,3.469501,-32.95165,-88.94346,1.7676325,-32.577896,-90.044174,1.453126,120000
1.9069611,-9.341093,0.93410933,0.49739617,3.7729793,0.97285175,-3.6705503,1.0,0.9990597,0.2529297,0.0038841583,-16.406115,-16.419348,-2.868886,120.30997,0.6733501,2.807977e-05,9.512172,-9.242453,145.03836,4.7809896,2.184341,-32.4048,-90.38703,2.5535994,-32.117928,-90.11598,1.4694209,1.9066389,-9.378235,0.9378235,0.50668156,3.848206,0.96881545,-3.7282023,1.0,0.9990387,0.20703125,0.004310133,-16.164654,-16.177341,-3.1859221,235.36383,1.0961919,2.2178361e-05,5.0746155,1.3835611,-31.41382,-88.72458,3.043005,-30.968449,-88.892914,1.6324605,150000
1.8992568,-9.295557,0.9295558,0.48601234,3.7189035,0.96970105,-3.6062255,1.0,0.99904823,0.24023438,0.0040171845,-16.515728,-16.52897,-2.9705794,112.99257,0.8202281,8.5521793e-07,7.7220154,-7.7628646,119.928925,4.2703238,1.0310211,-32.05229,-92.83694,3.1948252,-31.610706,-93.18294,1.513118,1.899634,-9.363142,0.9363141,0.5029083,3.9122508,0.9633199,-3.76875,1.0,0.99901867,0.17675781,0.004435721,-16.305698,-16.318407,-3.3049743,1451.6616,1.5364897,8.232999e-06,4.0157204,0.81966615,-35.0315,-91.42163,1.4827206,-34.672153,-90.799034,1.5527897,180000
1.9069462,-9.374964,0.9374963,0.5058638,3.681211,0.9694498,-3.5687504,1.0,0.99906635,0.2861328,0.0038417834,-16.613932,-16.627426,-2.8078704,189.83655,0.77256715,1.6325981e-05,9.893488,-8.4123125,192.9365,5.0541883,0.0,-32.548084,-93.51501,1.897943,-32.24668,-93.60432,1.4584345,1.9045776,-9.307119,0.93071187,0.4889027,3.8342142,0.97386575,-3.7340107,1.0,0.9990196,0.19140625,0.0042416626,-16.314081,-16.326944,-3.154846,185.14459,0.7283106,2.743799e-05,4.140338,0.3796749,-33.781693,-96.30828,3.0903327,-33.409504,-95.9211,1.3995281,210000
1.9001622,-9.332958,0.93329585,0.49536252,3.708292,0.9668663,-3.5854235,1.0,0.9990568,0.26757812,0.0038848228,-16.719982,-16.733534,-2.8573132,212.68513,0.9652013,1.542991e-05,8.964659,-11.753157,165.49393,4.1540246,0.5300193,-33.29525,-95.98699,2.772966,-33.04287,-95.92259,1.4182012,1.9087994,-9.415134,0.9415134,0.5159065,3.9711714,0.96728605,-3.8412595,1.0,0.9990063,0.19140625,0.0043781525,-16.615036,-16.628109,-3.242219,950.0349,1.6509014,4.593712e-06,5.1103554,0.5394956,-34.223408,-95.184685,1.992671,-33.907806,-94.68663,1.3600855,240000
1.8931203,-9.320183,0.93201816,0.4921684,3.7590969,0.96110207,-3.6128767,1.0,0.9990673,0.2734375,0.003849659,-16.968689,-16.982544,-2.7955682,603.8559,1.0444586,2.0545716e-05,9.296952,-9.576073,171.48001,3.8517604,0.838338,-34.431538,-92.38371,2.4998655,-33.997803,-93.43355,1.4340014,1.9005427,-9.346449,0.9346448,0.49873504,3.8542047,0.965898,-3.7227693,1.0,0.9990368,0.21191406,0.0042645643,-16.710773,-16.724062,-3.1206927,1906.087,2.0527468,2.3168719e-05,3.9960368,2.1943421,-35.964367,-93.47697,2.1983733,-35.573364,-93.035355,1.3421757,270000
1.8901134,-9.330757,0.9330757,0.49481222,3.674194,0.95703757,-3.5163426,1.0,0.99906635,0.2783203,0.0038321544,-17.07745,-17.091429,-2.7762206,158.55386,1.0720817,0.00010413974,4.614811,-4.9335623,107.97403,4.209494,0.7771815,-32.4367,-92.490974,2.6520448,-32.10626,-93.28113,1.4349413,1.9035468,-9.354653,0.93546534,0.5007864,3.8109019,0.9680814,-3.6892643,1.0,0.9990177,0.20898438,0.0043239133,-16.94255,-16.955978,-3.2056942,579.2112,0.98785645,1.5303697e-06,4.063018,2.9161117,-32.309494,-96.64095,3.507948,-32.03508,-96.01789,1.6522247,300000
