training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,step
1.7584519,-7.7713013,0.7771301,0.10494833,5.735317,0.98132175,-5.628193,1.0,0.99906826,0.17382812,0.0050261384,-10.161808,-10.167807,-4.0257773,17.768303,0.2663396,2.62749e-06,3.5673587,-4.183088,95.897964,4.0046444,1.0564127,-30.317753,-69.14944,2.6685739,-30.00655,-68.86941,1.0050399,1.773431,-7.8089123,0.78089124,0.11435104,5.968302,0.9925397,-5.9237776,1.0,0.9988308,0.0859375,0.0058134757,-9.842384,-9.847749,-4.3526525,38.119205,0.20607841,1.8957055e-06,4.32849,0.7259073,-29.412312,-70.76698,2.157797,-29.177748,-71.139465,1.0634136,30000
1.7551098,-7.7394667,0.7739467,0.096989736,6.005663,0.98116314,-5.892536,1.0,0.99906635,0.20703125,0.004846535,-10.422503,-10.428834,-3.947659,19.981289,0.266928,6.5947296e-07,8.180243,-4.9616346,108.89445,3.5963573,1.3474255,-35.106964,-83.52091,2.0398362,-34.899807,-83.299385,0.7633454,1.7608576,-7.7719374,0.7771937,0.105107285,6.312254,0.98366386,-6.209137,1.0,0.99860287,0.10546875,0.0061697373,-10.280443,-10.286241,-4.3501053,237.68274,0.6449969,1.4198544e-06,3.7611253,0.5364331,-33.900475,-84.75977,2.395268,-33.612263,-84.63531,0.92923045,60000
1.7424757,-7.726475,0.7726475,0.09374173,5.798703,0.9698282,-5.623747,1.0,0.99907017,0.22949219,0.0047624167,-10.723897,-10.7307625,-3.6996107,183.79999,0.5847275,5.239629e-06,18.240625,-14.916451,159.29842,3.9162085,0.33866477,-36.036057,-90.17066,2.0283146,-35.717396,-90.19061,0.96309114,1.7688732,-7.7817535,0.77817535,0.10756128,6.5951824,0.9906978,-6.5338335,1.0,0.9988661,0.09667969,0.0058698514,-10.294494,-10.300191,-4.466294,263.43906,0.47751313,3.4169312e-07,5.059993,2.6048665,-35.940575,-89.11451,3.389821,-35.716022,-88.18611,1.1581036,90000
1.7508376,-7.7209415,0.77209413,0.092358276,6.0426583,0.9787435,-5.914213,1.0,0.9990711,0.22363281,0.0048588105,-10.825724,-10.832514,-3.879088,44.949745,0.37741375,2.9248047e-06,3.3347988,-4.449631,97.39488,3.5812895,1.0779364,-36.339027,-94.399284,2.6251726,-36.146133,-94.345406,0.92880327,1.7723076,-7.76033,0.77603304,0.10220555,6.7735744,0.99627453,-6.7483406,1.0,0.9988327,0.095703125,0.0058436794,-10.478348,-10.484175,-4.5177345,39.679752,0.20089948,5.7248646e-09,4.0126057,1.2170281,-35.906296,-90.34989,3.107664,-35.746758,-90.00167,1.0786964,120000
1.7406594,-7.7083387,0.77083385,0.08920768,5.8692427,0.9698255,-5.6921425,1.0,0.99907684,0.25683594,0.004752595,-11.006308,-11.013466,-3.6837783,92.5707,0.6352378,8.699624e-07,5.9053726,-7.0698576,122.0703,3.9212537,0.795792,-36.61413,-92.02059,2.255423,-36.49126,-91.94214,0.85658926,1.7714145,-7.7556305,0.77556306,0.1010306,6.7093496,0.9958515,-6.681517,1.0,0.9989424,0.10449219,0.0058708754,-10.660403,-10.666355,-4.5716286,34.267906,0.21992493,1.5312753e-09,4.3380423,2.0936637,-37.968315,-91.34496,3.2770915,-37.757317,-91.258026,1.1522651,150000
1.7407701,-7.7022133,0.77022135,0.087676264,5.6513634,0.97054875,-5.4849243,1.0,0.99906254,0.2734375,0.004445037,-11.411271,-11.419121,-3.3806849,588.37115,1.0236248,2.4287818e-08,5.8708763,-5.484335,109.599884,3.621347,1.0575061,-39.198288,-93.975624,2.3500614,-39.025425,-94.80063,0.8132323,1.7755027,-7.786092,0.77860916,0.10864586,6.6732664,0.9968935,-6.652537,1.0,0.9988079,0.1171875,0.006020417,-10.838382,-10.844447,-4.6339693,14.688063,0.16767737,2.5772113e-09,4.558005,1.323369,-38.032024,-95.76878,2.5357442,-37.91174,-95.92462,1.1988734,180000
1.7437165,-7.713352,0.77133524,0.090461046,5.6611776,0.9723813,-5.5048237,1.0,0.9990864,0.24316406,0.0046098167,-11.353351,-11.360966,-3.562787,27.126493,0.48597318,4.916612e-06,5.8981285,-4.126126,98.280655,3.320823,1.4478083,-38.5254,-93.46769,2.4693747,-38.317863,-93.337135,0.81327826,1.7769392,-7.782289,0.7782289,0.10769517,6.8359156,0.9987102,-6.8271,1.0,0.9989052,0.10839844,0.0059430194,-10.774132,-10.780085,-4.6840467,39.60815,0.16098991,6.831223e-10,4.7871203,2.0856338,-37.74197,-93.17576,4.2468476,-37.491344,-92.980034,1.2996521,210000
1.7421415,-7.7198734,0.7719874,0.09209138,5.9095726,0.97015405,-5.7331967,1.0,0.999094,0.27539062,0.0044730185,-11.435838,-11.443627,-3.4660726,16.876127,0.47621495,5.702179e-06,5.9926996,-10.059222,113.36598,3.5772157,3.5435839,-39.525627,-96.32939,5.122635,-39.282875,-96.33998,0.8847722,1.7734928,-7.765851,0.7765851,0.10358575,6.981593,0.99690765,-6.960005,1.0,0.9988613,0.10839844,0.0059399996,-10.911183,-10.917379,-4.572665,37.403336,0.19749369,4.0655983e-08,4.9284573,2.0731537,-39.262733,-99.54982,3.2583313,-39.087738,-100.05696,1.1249268,240000
1.7488887,-7.688778,0.76887786,0.08431752,5.800022,0.9800109,-5.684086,1.0,0.99909115,0.28320312,0.004438186,-11.572519,-11.580464,-3.4439976,60.903088,0.44921255,1.3830063e-06,7.7009764,-6.8469167,117.39517,3.5885878,2.9330232,-39.732048,-92.20236,3.5464475,-39.46479,-94.165695,0.8242257,1.7745999,-7.7735686,0.77735686,0.10551506,7.027805,0.99724305,-7.0084305,1.0,0.9989605,0.109375,0.0059429696,-10.888519,-10.89447,-4.7993803,75.90489,0.17635094,3.987206e-08,5.8895082,1.0994465,-40.704857,-94.41019,3.0615287,-40.523426,-93.47035,1.519979,270000
1.739139,-7.7112837,0.77112836,0.0899439,5.8882203,0.9680106,-5.6998606,1.0,0.9991026,0.2939453,0.0044087595,-11.749687,-11.757832,-3.418202,36.483627,0.55101436,4.048065e-06,4.6074295,-10.263927,110.62729,3.5034223,2.4698727,-39.969177,-93.49825,3.2821546,-39.77144,-93.513245,0.797641,1.7740737,-7.8064127,0.7806413,0.113726206,6.9987626,0.9934324,-6.952799,1.0,0.99875546,0.09765625,0.0062417374,-11.234621,-11.240959,-4.7515726,19.958334,0.19319852,3.2951136e-10,5.215309,3.4126525,-38.4066,-96.65245,4.5820947,-38.357384,-95.88039,1.5770323,300000
