training/action_effect/action_effect_loss,training/action_effect/target_norm,training/action_effect/u_norm,training/actor/actor_loss,training/actor/adv_mean,training/actor/adv_std,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,validation/action_effect/action_effect_loss,validation/action_effect/target_norm,validation/action_effect/u_norm,validation/actor/actor_loss,validation/actor/adv_mean,validation/actor/adv_std,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,step
0.050762612,6.806582,5.9886084,289.60684,0.20335704,0.85347503,-7.669482,0.07949357,1.0,3.5684838,-4.1383095,161.10982,3.9956932,1.0821316,-30.316193,-69.160225,2.67477,-30.003782,-68.88855,1.0043713,0.054972786,7.060416,6.184366,317.57654,0.21701027,0.8578474,-7.6926966,0.08529712,1.0,4.3333635,0.7146549,-29.40794,-70.74189,2.184544,-29.17259,-71.11424,1.0631344,30000
0.043632925,6.1575327,5.2997866,312.05792,0.21819207,0.82026505,-7.6254306,0.068480656,1.0,7.9678216,-4.994149,163.82935,3.5900168,1.36255,-35.104427,-83.55456,2.0114112,-34.897964,-83.27644,0.7633332,0.04314526,6.069332,5.23055,310.16052,0.21648456,0.7657873,-7.6749964,0.0808721,1.0,3.7671223,0.55721354,-33.89962,-84.76625,2.362058,-33.613434,-84.6402,0.9307889,60000
0.0450081,5.8970985,5.000865,317.02454,0.23439977,0.77952355,-7.6242504,0.06818551,1.0,18.383156,-15.627214,221.93704,3.9165406,0.14810133,-36.042618,-90.2265,2.0389948,-35.72467,-90.23341,0.96155506,0.04469997,5.8927226,5.0350304,334.67883,0.24062209,0.77873445,-7.6844206,0.08322822,1.0,4.7171144,0.8874996,-33.500046,-90.14383,2.5251663,-33.242912,-90.4706,1.067766,90000
0.046086248,5.658643,4.6768293,329.94104,0.26382616,0.7223594,-7.6215496,0.067510456,1.0,3.2947729,-4.6100087,169.92102,3.616128,1.0098016,-36.34655,-94.45439,2.6270614,-36.155415,-94.40319,0.93487704,0.04679323,5.674409,4.6840944,327.16064,0.25989676,0.7053101,-7.659809,0.07707524,1.0,4.0403614,1.181622,-35.912636,-90.387474,3.1373174,-35.75444,-89.86098,1.0932446,120000
0.0476653,5.6188173,4.587653,323.67297,0.22302677,0.6760607,-7.6051097,0.063400425,1.0,5.576937,-6.9111385,180.09773,3.9378507,0.7966546,-36.617706,-91.9826,2.179409,-36.49433,-91.902084,0.8650898,0.050179694,5.584898,4.5446568,336.00604,0.25141042,0.6926384,-7.6384764,0.07174202,1.0,4.371604,2.0530431,-37.96629,-91.36549,3.032945,-37.751884,-91.28672,1.1471543,150000
0.05206962,5.5090637,4.3941646,353.91742,0.29501414,0.68682,-7.5822406,0.057683066,1.0,5.771798,-5.4357076,184.09656,3.634394,0.9583988,-39.209255,-94.19941,2.391467,-39.037544,-95.02625,0.81681216,0.05095696,5.5142117,4.429974,341.85522,0.3001879,0.71159947,-7.659816,0.077077016,1.0,4.638936,1.2483935,-38.03817,-95.0482,2.8838048,-37.918148,-95.17784,1.2217155,180000
0.05358404,5.6092424,4.500624,335.58215,0.2603632,0.7908778,-7.590216,0.059676997,1.0,5.915012,-4.490561,169.69208,3.3439558,1.3294175,-38.532784,-93.250946,2.5324435,-38.332253,-93.13986,0.81969845,0.057232298,5.758701,4.5786786,367.1022,0.30300248,0.7807946,-7.672858,0.080337554,1.0,4.834447,2.2294848,-37.756767,-93.56587,4.144883,-37.508484,-93.359604,1.3013976,210000
0.052954238,5.578245,4.4570274,331.73126,0.25696367,0.71773946,-7.6002154,0.06217681,1.0,6.864794,-9.873642,184.94391,3.5183501,3.6876974,-39.519833,-96.2731,5.1245046,-39.278458,-96.31709,0.8893769,0.05471658,5.431385,4.3237257,329.36807,0.2472144,0.67702115,-7.656774,0.07631652,1.0,4.9959,3.649033,-38.067047,-97.929306,3.7614536,-37.89203,-95.43676,1.1578219,240000
0.055494588,5.5255523,4.34431,329.08963,0.2614149,0.65841997,-7.575342,0.055958554,1.0,8.206812,-6.7554955,178.49396,3.5606039,2.9975257,-39.723656,-92.52032,3.6833038,-39.446396,-94.03894,0.8208066,0.060915142,5.6731453,4.4178324,357.06244,0.30280232,0.76800156,-7.669504,0.07949893,1.0,5.811925,1.0866668,-40.688953,-94.65239,3.0137873,-40.498856,-93.41492,1.4926572,270000
0.05812089,5.60075,4.395396,336.3684,0.27097967,0.68800235,-7.580141,0.057158194,1.0,4.3385077,-11.841505,180.91484,3.5641427,2.589611,-39.975525,-93.64587,3.6718802,-39.77105,-93.667114,0.799152,0.059585944,5.4867725,4.3101816,329.04828,0.24377081,0.7280568,-7.6721187,0.080152586,1.0,5.0578527,3.4044962,-38.399963,-95.873245,4.3620143,-38.348618,-96.24902,1.5264785,300000
