training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
135.06369,0.07742013,-7.812932,0.115355976,1.0,2.202969,-2.1138144,58.39336,0.4401992,-14.63515,-25.577038,0.09611556,137.88426,0.080730855,-7.8616276,0.12752996,1.0,0.5263197,-14.701578,-25.627512,0.10786235,5000
199.66069,0.058742613,-7.705843,0.088583805,1.0,3.1393492,-3.724235,62.56294,0.5578584,-21.798752,-43.45816,0.17717415,213.87558,0.09332687,-7.7550893,0.10089527,1.0,0.69809043,-22.91845,-43.44921,0.16134885,10000
258.31726,0.13765822,-7.702155,0.08766185,1.0,6.53744,-3.2455378,80.37782,0.5794721,-25.275639,-58.271152,0.22271416,249.70891,0.12593508,-7.732026,0.09512951,1.0,0.5846745,-26.643269,-58.408577,0.20295447,15000
262.47354,0.089334756,-7.6737084,0.08055009,1.0,3.4830341,-2.57261,75.86853,0.519053,-27.303059,-70.06038,0.27843946,297.33502,0.14111021,-7.71645,0.09123556,1.0,0.5647669,-28.263683,-69.91078,0.3285753,20000
289.67532,0.14800298,-7.6521244,0.075154044,1.0,4.5547347,-4.425433,73.66022,0.57705677,-28.425343,-78.73484,0.21020988,272.8481,0.10108606,-7.706829,0.08883024,1.0,0.4077748,-28.486881,-78.32289,0.22735801,25000
304.31915,0.14325464,-7.6620617,0.0776383,1.0,3.004419,-3.3912072,70.77082,0.7506863,-28.860994,-83.36066,0.19112182,282.07495,0.12513778,-7.7018976,0.08759739,1.0,0.622869,-28.529053,-83.74653,0.31822234,30000
300.7027,0.15792653,-7.6603265,0.07720456,1.0,3.4079797,-3.3591547,79.75451,0.42552984,-29.188364,-85.43429,0.22833958,286.10333,0.120824695,-7.6930027,0.08537373,1.0,0.82733387,-30.715351,-87.49369,0.20404446,35000
287.67404,0.1239019,-7.6432233,0.072928764,1.0,4.3897953,-3.835483,69.401535,0.63681936,-29.039387,-88.25778,0.2523659,283.7806,0.13534021,-7.727277,0.09394224,1.0,0.39965528,-30.534698,-88.85831,0.23953915,40000
306.43774,0.14791958,-7.641238,0.07243259,1.0,3.0906825,-3.4038413,74.56636,0.7140466,-29.474476,-89.712524,0.26688954,304.3047,0.11856417,-7.700291,0.08719568,1.0,0.623433,-28.402916,-89.75358,0.25745356,45000
297.1549,0.17868535,-7.621307,0.06744975,1.0,6.2196245,-3.5292535,80.99655,0.38109094,-29.429344,-90.609085,0.39323854,308.81226,0.1762433,-7.6788154,0.081826836,1.0,0.6384422,-29.736158,-92.13819,0.3091734,50000
285.28903,0.13182107,-7.6274295,0.06898039,1.0,3.6554074,-2.6788917,74.47095,0.42693865,-29.038576,-90.18304,0.3218394,297.79623,0.12862168,-7.7008667,0.08733957,1.0,1.2460847,-28.576588,-88.61667,0.27145797,55000
277.82135,0.13986823,-7.65496,0.075863056,1.0,5.4598827,-4.31744,84.438805,0.6905196,-26.668121,-92.66342,0.32370627,293.04715,0.10327738,-7.675335,0.08095664,1.0,0.5894783,-29.325798,-91.92031,0.79292035,60000
293.62805,0.15647635,-7.6466093,0.07377522,1.0,9.938482,-3.733809,90.25198,0.87871003,-26.819267,-86.318245,0.3867814,286.47458,0.112374246,-7.672826,0.08032943,1.0,0.4586049,-28.109568,-89.63815,0.30781078,65000
302.79074,0.15828115,-7.611706,0.06504944,1.0,4.929306,-9.808604,91.944595,0.38638437,-28.772785,-93.02292,0.38207465,322.6535,0.16358437,-7.67762,0.08152802,1.0,0.6836699,-27.749838,-90.18222,0.5085912,70000
