training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/value/eikonal_loss,training/value/td_value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/value/eikonal_loss,validation/value/td_value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
194.00316,7.856236,-7.6324644,0.07023901,1.0,2.709526,-2.2599792,65.95942,0.32815072,0.24742043,0.36734176,-29.218807,-81.477234,0.5755712,188.6824,7.3302794,-7.6800346,0.082131565,1.0,0.33917454,0.18513918,0.50312746,-31.603598,-81.67893,0.5243137,30000
175.0414,6.595849,-7.599617,0.062027216,1.0,10.422762,-4.297264,81.4798,0.32501313,0.16768007,0.41594893,-34.548225,-89.75673,0.4926932,168.5711,6.3938246,-7.651013,0.07487618,1.0,0.34697872,0.18835998,0.5047579,-33.149624,-89.665405,0.5353387,60000
190.97612,8.913542,-7.604991,0.063370794,1.0,3.7996006,-3.0228448,64.37271,0.3365985,0.22265977,0.3216982,-32.195854,-92.979645,0.5592582,194.04814,7.804425,-7.65836,0.07671307,1.0,0.29554397,0.18035749,0.3814003,-32.571167,-93.2938,0.47590145,90000
161.8035,6.4912004,-7.5926447,0.06028424,1.0,4.2898455,-5.9237065,64.724785,0.34157923,0.2670064,0.3309701,-33.97661,-94.12953,0.6085856,196.75821,8.459515,-7.6686697,0.07929039,1.0,0.29243484,0.20255314,0.55853504,-33.162388,-94.774414,0.49498796,120000
175.86697,7.780284,-7.5746512,0.055785783,1.0,4.6234384,-8.013191,68.636635,0.26401097,0.2240807,0.38312417,-34.403717,-95.934944,0.48809165,180.18176,7.375433,-7.6603518,0.077210926,1.0,0.29034635,0.18956164,0.37099484,-35.131565,-95.411385,0.479908,150000
175.1979,7.672744,-7.5748844,0.055844065,1.0,2.9947662,-4.452299,63.97042,0.26687622,0.18147665,0.32907748,-35.478912,-97.386566,0.44835287,176.02448,6.5079155,-7.651949,0.07511013,1.0,0.32510424,0.23736507,0.2999746,-36.579865,-96.71893,0.5624693,180000
182.41396,7.7554426,-7.5661564,0.053662047,1.0,3.672968,-3.7043376,62.784912,0.24288617,0.19214693,0.38479686,-34.572468,-96.43643,0.43503308,177.83249,7.6747465,-7.6579247,0.07660404,1.0,0.30575037,0.20970267,0.26898104,-35.06382,-95.86361,0.51545304,210000
186.55157,8.677069,-7.5723143,0.05520147,1.0,6.68015,-5.4994607,67.90344,0.2720233,0.15328261,0.23505381,-34.52198,-95.49576,0.4253059,187.61208,7.9152737,-7.649102,0.07439865,1.0,0.2899502,0.1996502,0.3144294,-34.594746,-98.105415,0.4896004,240000
182.66446,8.165948,-7.574274,0.0556914,1.0,3.0206263,-4.658866,71.029655,0.26811352,0.20933987,0.27615723,-34.236458,-97.95894,0.4774534,187.45227,8.212618,-7.661504,0.0774989,1.0,0.30110726,0.26110756,0.2832371,-35.189133,-96.56682,0.56221485,270000
185.06882,8.188349,-7.5597925,0.05207116,1.0,3.126592,-3.6118991,64.318054,0.28100058,0.21438164,0.35883632,-33.55603,-97.454575,0.49538222,173.83203,7.5780134,-7.6606617,0.07728838,1.0,0.23928443,0.19059533,0.33256456,-36.64125,-95.5778,0.42987975,300000
193.57022,8.779493,-7.5647078,0.053300027,1.0,3.0881631,-3.8770466,68.525505,0.24930696,0.13083646,0.52669454,-32.572807,-93.44516,0.3801434,200.78427,7.987848,-7.666599,0.07877267,1.0,0.25217426,0.16898128,0.28805187,-34.748634,-96.262596,0.42115554,330000
171.66545,7.625386,-7.562339,0.052707735,1.0,2.7469807,-5.0013585,65.282745,0.2533477,0.22180042,0.6175442,-35.809906,-96.38705,0.4751481,214.49593,10.109755,-7.6719136,0.08010142,1.0,0.2528855,0.21375442,0.4383026,-32.992092,-95.925415,0.4666399,360000
172.1284,7.612039,-7.556261,0.05118813,1.0,4.9303384,-4.1201267,67.73869,0.27283236,0.17525831,0.31856835,-34.71148,-97.1485,0.44809067,189.78563,8.430955,-7.688386,0.084219575,1.0,0.27207842,0.1815418,0.32203895,-35.758385,-96.349655,0.45362023,390000
197.54105,8.97451,-7.5789895,0.056870356,1.0,12.877629,-5.358065,82.63259,0.26361305,0.16187096,0.2503015,-33.04892,-94.64398,0.425484,215.48128,9.227061,-7.677212,0.08142607,1.0,0.24244492,0.16919373,0.45652255,-33.651608,-96.89265,0.41163865,420000
