training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,training/rep/critic_loss,training/rep/q_max,training/rep/q_mean,training/rep/q_min,training/rep/v_max,training/rep/v_mean,training/rep/v_min,training/rep/value_loss,training/value/eikonal_loss,training/value/td_value_loss,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/rep/critic_loss,validation/rep/q_max,validation/rep/q_mean,validation/rep/q_min,validation/rep/v_max,validation/rep/v_mean,validation/rep/v_min,validation/rep/value_loss,validation/value/eikonal_loss,validation/value/td_value_loss,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,step
264.38193,0.13506842,-7.6668997,0.07884778,1.0,3.583858,-3.4538233,115.79087,1.3112779,0.0,-17.086868,-49.088005,1.1472683,-16.609138,-48.7527,0.1617468,0.23922186,0.24547818,0.64349735,-28.771408,-82.155396,0.48470002,260.9016,0.10806636,-7.7069883,0.08887015,1.0,1.482192,0.23138297,-17.761915,-49.366962,1.7629521,-17.171082,-49.063236,0.19464383,0.23679794,0.24611218,0.382078,-30.54701,-81.9603,0.48291013,30000
269.2149,0.18841887,-7.6192513,0.066935785,1.0,2.4577396,-3.658744,93.640656,1.3538623,0.0,-23.105522,-58.799267,1.294874,-22.59901,-58.26029,0.13937515,0.21402909,0.25047353,0.46520653,-34.823883,-91.04834,0.46450263,277.07004,0.15341213,-7.7101626,0.08966359,1.0,1.5505798,0.0,-21.670515,-58.85416,1.1179246,-21.15612,-58.803703,0.16094543,0.21232428,0.24450633,0.41072956,-32.921127,-92.5874,0.45683062,60000
253.99004,0.15407544,-7.6390905,0.07189564,1.0,2.944417,-2.2594929,78.07587,1.2100577,0.0,-22.687435,-63.374893,1.0665779,-22.223766,-63.10006,0.13426945,0.24419074,0.1884439,0.30964988,-32.45654,-93.462555,0.43263465,270.41327,0.1805349,-7.708147,0.08915971,1.0,1.3382323,0.86315453,-22.941288,-63.043385,1.8411059,-22.472034,-62.6568,0.21238399,0.22701806,0.2410139,0.37338778,-33.328636,-91.54,0.46803194,90000
268.83237,0.15016365,-7.630082,0.06964345,1.0,4.821781,-3.261376,96.31811,1.0788053,0.045442104,-24.553112,-65.52929,1.829319,-24.032276,-65.17874,0.16624841,0.23330355,0.20926899,0.40753916,-34.19607,-92.94272,0.44257253,282.57452,0.17971563,-7.7117085,0.090050116,1.0,1.4493885,0.57981575,-25.017002,-65.95299,1.6818386,-24.534748,-65.65866,0.208253,0.21976192,0.17206496,0.4151584,-35.309464,-92.573425,0.39182687,120000
267.90143,0.1714539,-7.6067953,0.06382184,1.0,3.1192524,-3.241844,88.03987,1.1379349,0.037398577,-25.439074,-66.229164,1.478663,-25.00206,-65.88062,0.13972485,0.1924117,0.25433415,0.3750469,-34.369568,-94.43756,0.44674587,266.2341,0.15648341,-7.7154465,0.09098463,1.0,1.3527977,0.532539,-26.489672,-66.75014,2.6275122,-26.046328,-66.49184,0.17167586,0.20703056,0.19911046,0.4259316,-36.482258,-93.67478,0.40614104,150000
266.27893,0.16079453,-7.610259,0.064687654,1.0,2.5219104,-2.8852413,100.10754,1.2979534,0.0,-26.334324,-66.886986,1.8909483,-25.884491,-66.74621,0.15698814,0.20287119,0.17646083,0.4089387,-35.741966,-95.03537,0.379332,265.44507,0.15982857,-7.6821346,0.08265653,1.0,1.3312658,1.2100651,-24.732365,-67.907875,2.3492541,-24.282524,-67.60796,0.18439943,0.21862441,0.1718372,0.34633565,-33.51895,-95.11786,0.39046162,180000
278.1635,0.16269088,-7.6027503,0.06281053,1.0,2.2706785,-6.2011967,113.61115,1.3300349,0.23782098,-26.176186,-69.923744,1.6118792,-25.72569,-69.62187,0.1457322,0.17609467,0.18090418,0.3907851,-34.67149,-93.52728,0.35699886,262.34424,0.16396555,-7.6978908,0.08659569,1.0,1.414844,1.0631237,-25.745405,-69.129845,2.0898247,-25.288517,-68.90991,0.2458817,0.23261051,0.2116947,0.47815987,-34.52275,-95.14344,0.4443052,210000
253.70111,0.12446099,-7.6113334,0.06495622,1.0,2.6728683,-6.081641,113.59,1.1159478,0.0,-26.024872,-69.82482,1.3291736,-25.63527,-69.52578,0.1284028,0.19252294,0.16267182,0.2940681,-34.749153,-95.34475,0.35519475,284.5227,0.20194954,-7.680907,0.08234968,1.0,1.3900279,1.4173067,-27.540932,-70.34128,2.4402256,-27.073624,-70.03546,0.21044707,0.23170023,0.24210621,0.3728484,-37.057518,-93.86322,0.47380644,240000
251.32594,0.1524077,-7.6181355,0.06665686,1.0,3.4492233,-4.325407,100.14033,1.0300423,0.30006993,-26.17165,-68.99784,1.6913891,-25.718582,-68.5263,0.14537191,0.2005922,0.38567495,0.5302267,-34.526684,-96.8271,0.5862672,260.8699,0.1614649,-7.7036037,0.088023946,1.0,1.8359253,0.43779027,-25.30341,-70.624176,1.8169079,-24.856117,-70.31853,0.29162174,0.34202293,0.29194838,0.34831578,-33.487213,-94.13762,0.63397133,270000
263.23593,0.17376009,-7.60587,0.06359044,1.0,3.4524164,-4.793983,99.27856,1.1855919,0.49190545,-25.919088,-72.280754,1.7401795,-25.477913,-71.993866,0.14774826,0.22917886,0.22476973,0.8881227,-33.98054,-96.32162,0.4539486,275.71625,0.18365568,-7.7039933,0.08812125,1.0,1.3961203,0.9012927,-26.491291,-72.12322,2.5901113,-26.083118,-71.84156,0.21518293,0.24673621,0.20727095,0.5249341,-34.455452,-94.59407,0.45400715,300000
