training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.9289715,-9.289862,0.9289862,0.4845884,0.06793226,0.9999853,-0.06793226,1.0,5.6307836e-06,0.92572796,0.0036810637,0.068030894,0.99609375,0.00390625,0.92573357,0.06769039,-0.06769039,-0.06769038,-0.0676904,0.48659763,0.4898631,0.013409319,-0.017128425,0.26499197,1.9288143,-9.288288,0.9288287,0.48419482,0.069217786,0.9999856,-0.069217786,1.0,9.798915e-06,0.9307637,0.0027834177,0.06926907,0.99609375,0.00390625,0.9307735,0.06888069,-0.06888069,-0.068880685,-0.06888071,0.48667544,0.48994863,30000
1.9252369,-9.252514,0.9252513,0.47525123,0.0692732,0.99998564,-0.0692732,1.0,3.1422346e-06,0.93721175,0.0029886365,0.06928741,0.99609375,0.00390625,0.9372149,0.06905347,-0.06905348,-0.06905346,-0.069053486,0.41384426,0.41665494,0.01612725,-0.01748718,0.26863828,1.9263992,-9.264135,0.92641366,0.47815698,0.06889744,0.9999855,-0.06889744,1.0,1.8232139e-06,0.93067545,0.004188955,0.06891432,0.99609375,0.00390625,0.9306773,0.0687183,-0.0687183,-0.0687183,-0.06871831,0.41391575,0.4166243,60000
1.9308786,-9.308929,0.93089294,0.48935527,0.07008214,0.99998575,-0.07008214,1.0,4.9365567e-06,0.9312246,0.003154993,0.070088305,0.99609375,0.00390625,0.93122953,0.0700434,-0.0700434,-0.0700434,-0.0700434,0.34180743,0.33988672,0.020104146,-0.017850822,0.26232392,1.9383636,-9.383778,0.93837786,0.5080676,0.06978804,0.9999857,-0.06978804,1.0,3.122303e-06,0.93233085,0.0032279491,0.06980946,0.99609375,0.00390625,0.93233395,0.069558196,-0.069558196,-0.06955819,-0.06955819,0.34176064,0.3398707,90000
1.931541,-9.315556,0.9315556,0.49101204,0.06809964,0.99998534,-0.06809964,1.0,4.5210243e-07,0.9274878,0.0029944777,0.06810045,0.99609375,0.00390625,0.92748827,0.06804889,-0.06804888,-0.06804889,-0.06804889,0.28256303,0.27080822,0.016251806,-0.014519512,0.2667429,1.9269149,-9.269295,0.9269295,0.4794466,0.06824976,0.9999854,-0.06824976,1.0,6.631762e-07,0.9288215,0.004367292,0.06825058,0.99609375,0.00390625,0.92882216,0.068175375,-0.068175375,-0.06817537,-0.068175375,0.28258574,0.2707786,120000
1.9302616,-9.302763,0.93027633,0.4878138,0.06805806,0.99998534,-0.06805806,1.0,1.6441212e-06,0.9354292,0.003904283,0.06805928,0.99609375,0.00390625,0.9354309,0.06798662,-0.06798662,-0.06798662,-0.06798662,0.23545921,0.21772248,0.020756282,-0.019643335,0.28847495,1.9359705,-9.359852,0.9359852,0.5020859,0.068012476,0.9999853,-0.068012476,1.0,1.5452188e-06,0.9268304,0.0040230155,0.06801296,0.99609375,0.00390625,0.92683196,0.06795521,-0.06795521,-0.06795521,-0.06795521,0.23550212,0.21774518,150000
1.9347086,-9.347231,0.934723,0.4989305,0.06887686,0.9999855,-0.06887686,1.0,2.6073286e-07,0.93496144,0.0031238198,0.06888933,0.99609375,0.0,0.9349617,0.06885779,-0.06885779,-0.06885778,-0.06885779,0.19887418,0.17493066,0.018232767,-0.02624471,0.29727706,1.9221797,-9.221941,0.9221942,0.4676084,0.06878881,0.9999855,-0.06878881,1.0,2.2482386e-07,0.93216705,0.0041469336,0.06879056,0.99609375,0.00390625,0.9321673,0.06875929,-0.0687593,-0.06875929,-0.06875929,0.19886371,0.17491683,180000
1.9265711,-9.265856,0.9265857,0.47858697,0.068773985,0.99998546,-0.068773985,1.0,1.6663928e-06,0.92278117,0.0040412545,0.06879515,0.99609375,0.00390625,0.92278284,0.06873964,-0.06873963,-0.06873963,-0.06873963,0.16655603,0.13777947,0.017296797,-0.018594064,0.26979673,1.9262595,-9.26274,0.92627394,0.47780782,0.06888063,0.9999856,-0.06888063,1.0,1.6990538e-06,0.9323552,0.0027676225,0.06888456,0.99609375,0.00390625,0.93235695,0.06883048,-0.06883048,-0.068830475,-0.06883048,0.16665328,0.13782373,210000
1.92347,-9.234847,0.9234847,0.47083467,0.06801785,0.99998534,-0.06801785,1.0,4.4998836e-07,0.93473995,0.0029639006,0.06802948,0.99609375,0.00390625,0.9347404,0.067991145,-0.06799114,-0.06799113,-0.067991145,0.14142583,0.10893677,0.016503887,-0.021198219,0.2628969,1.9310222,-9.310368,0.93103683,0.48971492,0.06779428,0.9999853,-0.06779428,1.0,2.6936516e-07,0.93422675,0.0035228133,0.067799956,0.99609375,0.00390625,0.93422705,0.067787796,-0.067787796,-0.067787796,-0.067787796,0.1413561,0.10890952,240000
1.918437,-9.184521,0.918452,0.4582531,0.06646485,0.999985,-0.06646485,1.0,1.0700673e-07,0.92704654,0.0034894943,0.06648378,0.99609375,0.00390625,0.92704666,0.06642504,-0.06642504,-0.06642503,-0.06642504,0.12090003,0.08499299,0.022890639,-0.017625276,0.28420636,1.9329424,-9.329573,0.9329573,0.4945162,0.066647634,0.99998504,-0.066647634,1.0,1.8102212e-07,0.9363467,0.0027295947,0.066661134,0.99609375,0.00390625,0.9363469,0.06658728,-0.06658727,-0.06658727,-0.06658728,0.12096067,0.08502767,270000
1.9182549,-9.1826935,0.9182693,0.4577962,0.06877141,0.9999855,-0.06877141,1.0,1.8154807e-07,0.9304817,0.004105091,0.068787895,0.99609375,0.00390625,0.93048185,0.068649516,-0.068649516,-0.068649516,-0.068649516,0.10799238,0.0682643,0.018972466,-0.020961082,0.2837061,1.9266424,-9.266569,0.92665696,0.4787654,0.06879379,0.99998546,-0.06879379,1.0,2.1719214e-07,0.9230388,0.0038686395,0.06880992,0.99609375,0.00390625,0.923039,0.06867176,-0.06867176,-0.06867176,-0.06867177,0.10795581,0.068262056,300000
1.9230996,-9.231144,0.9231144,0.46990883,0.06748648,0.9999852,-0.06748648,1.0,2.784142e-08,0.93592834,0.0027405024,0.067510754,0.99609375,0.0078125,0.93592834,0.067406096,-0.06740609,-0.067406096,-0.06740609,0.095077306,0.051372312,0.022041125,-0.020791173,0.28598532,1.9248488,-9.248635,0.9248636,0.4742818,0.06743206,0.9999852,-0.06743206,1.0,3.7262637e-08,0.9342539,0.0032176971,0.067454986,0.99609375,0.00390625,0.93425393,0.067356534,-0.067356534,-0.06735653,-0.067356534,0.09500155,0.051305097,330000
