training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7597361,-7.597479,0.7597479,0.061492708,0.08406076,0.99998814,-0.08406076,1.0,3.1888815e-06,0.90613633,0.0041329265,0.11028059,0.99609375,0.0234375,0.90613955,0.09018378,-0.09018379,-0.09019556,-0.08718087,0.5051471,0.50504506,0.010520878,-0.008558822,0.18261117,1.7734187,-7.7343035,0.7734304,0.09569887,0.08502958,0.99998826,-0.08502958,1.0,5.6100307e-06,0.90987456,0.004269719,0.11087654,0.99609375,0.01171875,0.90988016,0.09002349,-0.090023495,-0.09003378,-0.08739957,0.5052495,0.50504065,30000
1.7608044,-7.6081586,0.76081586,0.06416254,0.086573504,0.9999885,-0.086573504,1.0,3.5746536e-06,0.9102974,0.004689455,0.11587232,0.99609375,0.04296875,0.91030097,0.09194553,-0.09194553,-0.09195674,-0.08908641,0.43687874,0.43259293,0.011790952,-0.010085553,0.2095738,1.7653427,-7.6535416,0.76535416,0.075508356,0.08755714,0.9999886,-0.08755714,1.0,2.576533e-06,0.9183384,0.0027344823,0.11298567,0.99609375,0.03125,0.918341,0.09265692,-0.092656925,-0.09266975,-0.089383975,0.43700773,0.4329458,60000
1.7618811,-7.618929,0.76189286,0.06685512,0.08464275,0.9999882,-0.08464275,1.0,2.4032072e-06,0.9054615,0.004169762,0.11462695,0.99609375,0.046875,0.9054639,0.09024374,-0.09024375,-0.09025345,-0.08776715,0.37675804,0.36920696,0.015313522,-0.016021036,0.22226313,1.7631111,-7.631229,0.7631229,0.069930226,0.08548042,0.99998826,-0.08548042,1.0,1.8682512e-06,0.91287595,0.0030771494,0.1160654,0.99609375,0.046875,0.9128778,0.091242194,-0.091242194,-0.09125304,-0.0884718,0.3768011,0.36915165,90000
1.756072,-7.5608354,0.7560835,0.052331783,0.087044105,0.99998856,-0.087044105,1.0,2.1308438e-06,0.9110174,0.0028698444,0.12345466,0.99609375,0.0546875,0.91101956,0.09352721,-0.09352721,-0.09354017,-0.090221845,0.3283714,0.3172748,0.009703692,-0.011613597,0.18103473,1.7670217,-7.670333,0.76703334,0.0797062,0.085713826,0.9999884,-0.085713826,1.0,2.666081e-06,0.91258276,0.0035032034,0.13156101,0.99609375,0.046875,0.91258544,0.093907565,-0.09390756,-0.093923636,-0.08980617,0.32778203,0.31666875,120000
1.7559578,-7.5596867,0.7559687,0.052044638,0.0916715,0.99998915,-0.0916715,1.0,1.8061795e-06,0.90296614,0.0039215684,0.12534715,0.99609375,0.0859375,0.90296793,0.09869286,-0.098692864,-0.09871271,-0.09362819,0.28908247,0.2757549,0.0105726225,-0.013742337,0.16696112,1.7624806,-7.6249156,0.7624916,0.06835191,0.09115652,0.99998903,-0.09115652,1.0,1.6186018e-06,0.89848524,0.0037657619,0.12561506,0.99609375,0.04296875,0.89848685,0.09952888,-0.09952889,-0.099548325,-0.09456884,0.2891435,0.27600342,150000
1.7566235,-7.5663476,0.75663483,0.053709917,0.088920936,0.99998873,-0.088920936,1.0,3.683956e-06,0.897622,0.0034588575,0.119936906,0.99609375,0.09375,0.8976257,0.098024905,-0.098024905,-0.09804766,-0.092219085,0.25479144,0.2401149,0.010788494,-0.016617106,0.21699114,1.7609634,-7.6097445,0.7609744,0.06455909,0.091238156,0.9999891,-0.091238156,1.0,3.5788742e-06,0.90745544,0.0032451153,0.12022853,0.99609375,0.0390625,0.907459,0.099383466,-0.09938346,-0.099399395,-0.095319726,0.25508142,0.24039112,180000
1.7588017,-7.5881233,0.75881237,0.05915383,0.09401633,0.9999894,-0.09401633,1.0,3.9634842e-06,0.8948084,0.004413724,0.13197425,0.99609375,0.078125,0.89481235,0.103338785,-0.10333879,-0.103359066,-0.09816607,0.23020041,0.2132,0.018214298,-0.020420277,0.2393376,1.7599308,-7.599414,0.7599414,0.061976384,0.09462125,0.99998945,-0.09462125,1.0,5.0630447e-06,0.8985745,0.003884375,0.126962,0.99609375,0.05078125,0.89857954,0.10375881,-0.103758805,-0.103780314,-0.0982725,0.23051755,0.2136186,210000
1.7603687,-7.603791,0.76037914,0.06307073,0.095510915,0.99998957,-0.095510915,1.0,2.1473043e-06,0.89943707,0.0031208992,0.13296834,0.99609375,0.05859375,0.8994392,0.10294956,-0.10294956,-0.10296744,-0.098388,0.2046442,0.18768531,0.019475954,-0.018240452,0.26057482,1.7637179,-7.637284,0.76372844,0.07144395,0.09492383,0.9999895,-0.09492383,1.0,2.002515e-06,0.89494056,0.004135072,0.12668552,0.99609375,0.03515625,0.8949426,0.10238834,-0.10238834,-0.10240518,-0.09809222,0.2042763,0.18654051,240000
1.7558254,-7.5583563,0.75583565,0.051712036,0.09756741,0.99998975,-0.09756741,1.0,2.4186206e-06,0.89679575,0.0032510757,0.14143564,0.99609375,0.08203125,0.8967982,0.108434685,-0.10843469,-0.10845761,-0.10258759,0.19025107,0.17031561,0.023444915,-0.015129178,0.24252966,1.7654763,-7.6548643,0.7654865,0.075839005,0.098572955,0.99998987,-0.098572955,1.0,2.2590393e-06,0.885167,0.005012393,0.12896976,0.99609375,0.0546875,0.88516927,0.108215526,-0.108215526,-0.10823796,-0.10249258,0.19048712,0.17101407,270000
1.7547696,-7.547798,0.7547798,0.049072534,0.09715463,0.9999897,-0.09715463,1.0,3.1732407e-06,0.89633787,0.0033400655,0.13798611,0.99609375,0.08984375,0.896341,0.10724527,-0.10724527,-0.10726861,-0.10129154,0.17528912,0.15117589,0.012029607,-0.012513182,0.19367364,1.7651458,-7.6515603,0.76515603,0.075013004,0.09735542,0.99998975,-0.09735542,1.0,2.9120515e-06,0.8946461,0.0032069683,0.13133639,0.99609375,0.0546875,0.894649,0.108028606,-0.108028606,-0.108055316,-0.10121511,0.17593089,0.15225482,300000
