training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7641047,-7.641064,0.7641064,0.07238894,0.61153615,0.99999833,-0.61153615,1.0,0.00023517103,0.10782604,0.014619276,0.75669074,0.99609375,0.1640625,0.10806121,1.3241864,-1.3241864,-1.327521,-0.47390667,1.8452976,2.1334596,0.010590622,-0.009241201,0.28922182,1.7785223,-7.785239,0.7785239,0.1084328,0.608641,0.99999833,-0.608641,1.0,0.0012352129,0.13838294,0.012215301,0.83738184,0.99609375,0.11328125,0.13961816,1.3101907,-1.3101907,-1.3136063,-0.43920064,1.8445852,2.1346087,30000
1.765235,-7.6523666,0.7652367,0.07521458,0.5473558,0.9999982,-0.5473558,1.0,0.0001457421,-0.055420846,0.009266138,0.6687781,0.99609375,0.1875,-0.055275105,1.6658695,-1.6658694,-1.6705737,-0.46623805,2.716146,3.0132856,0.014593391,-0.01107528,0.29452726,1.7706294,-7.706312,0.7706312,0.08870101,0.58203065,0.9999982,-0.58203065,1.0,0.0009006084,-0.033183653,0.031722184,2.6520185,0.99609375,0.13671875,-0.032283045,1.6769934,-1.6769934,-1.6817241,-0.47067133,2.7150233,3.0006344,60000
1.7677739,-7.677755,0.76777554,0.08156173,0.58317995,0.9999983,-0.58317995,1.0,9.966086e-05,-0.1360476,0.011287063,0.72227705,0.99609375,0.1640625,-0.13594794,1.7854393,-1.7854393,-1.7905095,-0.49252898,3.2119021,3.5211554,0.022271218,-0.020098351,0.38465282,1.7664013,-7.664029,0.7664029,0.078130215,0.6094427,0.9999984,-0.6094427,1.0,0.0002788726,-0.07249371,0.012227051,1.1009223,0.99609375,0.109375,-0.072214834,1.7004025,-1.7004025,-1.7050589,-0.51299673,3.1674838,3.4712126,90000
1.761426,-7.6142755,0.7614276,0.06569191,0.5986918,0.99999833,-0.5986918,1.0,9.466181e-05,-0.13753852,0.003380686,0.44755498,0.99609375,0.1796875,-0.13744386,1.815685,-1.815685,-1.8209268,-0.4789999,3.4182591,3.7150068,0.017099796,-0.0150283035,0.26768017,1.7696241,-7.6962585,0.76962584,0.08618751,0.6031375,0.9999983,-0.6031375,1.0,0.00061106845,-0.14313388,0.026185691,1.0593157,0.99609375,0.13671875,-0.14252281,1.8834841,-1.8834841,-1.8889971,-0.47764704,3.376639,3.6360052,120000
1.7602136,-7.6021533,0.7602153,0.06266128,0.5764412,0.9999983,-0.5764412,1.0,7.7622586e-05,-0.3253196,0.006354749,0.9332981,0.99609375,0.203125,-0.32524195,2.1784554,-2.1784554,-2.1850536,-0.495837,3.7019935,3.988129,0.019751916,-0.012046574,0.28469655,1.766933,-7.669345,0.7669345,0.0794591,0.67637527,0.9999985,-0.67637527,1.0,0.0029052864,-0.09098643,0.02789303,1.8706541,0.99609375,0.09765625,-0.088081144,1.7051891,-1.705189,-1.7098451,-0.5178751,3.4929829,3.815371,150000
1.7614238,-7.614256,0.7614256,0.06568691,0.55958146,0.9999982,-0.55958146,1.0,7.938261e-05,-0.27598846,0.005563259,0.515533,0.99609375,0.203125,-0.27590907,2.1006603,-2.1006603,-2.1070387,-0.4741614,3.6691704,3.9319077,0.0184982,-0.0136532625,0.3289531,1.7655041,-7.655057,0.7655057,0.07588716,0.67185897,0.99999845,-0.67185897,1.0,0.0010609538,-0.060761753,0.008955028,0.9721962,0.99609375,0.1015625,-0.0597008,1.668932,-1.668932,-1.6734846,-0.5079863,3.4453862,3.7443461,180000
1.7661545,-7.661562,0.7661562,0.07751349,0.59295326,0.9999983,-0.59295326,1.0,0.00014981581,-0.26522273,0.015071809,0.4976029,0.99609375,0.17578125,-0.2650729,2.034038,-2.034038,-2.0400708,-0.49568945,3.7846282,4.0757,0.019297237,-0.017230147,0.35001427,1.7648561,-7.648575,0.76485753,0.07426666,0.67377687,0.9999985,-0.67377687,1.0,0.0038247148,-0.12068623,0.029232934,2.2892284,0.99609375,0.109375,-0.116861515,1.783026,-1.783026,-1.7879525,-0.5266955,3.653726,3.9623373,210000
1.7644861,-7.6448755,0.7644876,0.07334185,0.64449364,0.9999984,-0.64449364,1.0,0.0001124965,-0.24895132,0.0049450994,0.7731988,0.99609375,0.15625,-0.24883881,1.9615295,-1.9615295,-1.9671026,-0.5403259,3.7855277,4.0838356,0.033282645,-0.022503376,0.36696875,1.7712536,-7.71255,0.771255,0.090260535,0.6947535,0.99999857,-0.6947535,1.0,0.0038261102,-0.10688017,0.023198292,1.4720837,0.99609375,0.09765625,-0.10305406,1.717953,-1.717953,-1.7225645,-0.54202485,3.6369684,3.9562826,240000
1.7612711,-7.6127267,0.76127267,0.06530465,0.65454566,0.99999845,-0.65454566,1.0,0.00010847133,-0.098388955,0.012188256,0.8806545,0.99609375,0.171875,-0.09828048,1.7516913,-1.7516915,-1.7567359,-0.46533442,3.7066464,4.005396,0.036118113,-0.019737575,0.36392003,1.7704492,-7.704507,0.77045065,0.08824966,0.7003201,0.99999857,-0.7003201,1.0,0.0036918758,-0.13250513,0.027854264,1.1277387,0.99609375,0.1171875,-0.12881325,1.7761946,-1.7761946,-1.781017,-0.5464653,3.6793141,3.9719791,270000
1.7583992,-7.5840087,0.7584009,0.058125198,0.6087791,0.99999833,-0.6087791,1.0,8.159748e-05,-0.20413224,0.007460803,0.5428813,0.99609375,0.18359375,-0.20405065,1.945806,-1.945806,-1.951572,-0.47546643,3.8058715,4.0822353,0.011908398,-0.014846482,0.30091396,1.765558,-7.655594,0.76555943,0.07602149,0.66516924,0.9999985,-0.66516924,1.0,0.006492159,-0.14430043,0.020766497,1.1746473,0.99609375,0.12109375,-0.13780828,1.8374455,-1.8374456,-1.8426089,-0.5207598,3.7306309,4.0190744,300000
