training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/action_invariance_loss,training/critic/backup_loss,training/critic/backup_optim_loss,training/critic/biggest_diff_in_dist,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/critic_loss,training/critic/dist,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/phi_mag,training/critic/psi_s_mag,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/action_invariance_loss,validation/critic/backup_loss,validation/critic/backup_optim_loss,validation/critic/biggest_diff_in_dist,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/critic_loss,validation/critic/dist,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/phi_mag,validation/critic/psi_s_mag,step
1.7820001,-7.820017,0.78200173,0.11712723,0.643648,0.9999984,-0.643648,1.0,0.00011030991,0.1947328,0.005233869,0.6979356,0.99609375,0.2578125,0.19484311,1.1308813,-1.1308813,-1.1333774,-0.4943189,1.2451069,1.2950912,0.0159049,-0.014372038,0.40212998,1.7861329,-7.8613462,0.7861346,0.12745948,0.6185796,0.99999833,-0.6185796,1.0,0.00011503193,0.20401515,0.005922526,0.7181051,0.99609375,0.26171875,0.20413019,1.1316736,-1.1316736,-1.1342293,-0.47995985,1.2577691,1.3100629,30000
1.7784213,-7.7842293,0.77842295,0.108180285,0.6079919,0.99999833,-0.6079919,1.0,7.687976e-05,0.13334578,0.006103933,0.5982678,0.99609375,0.26171875,0.13342266,1.2271924,-1.2271925,-1.229986,-0.51483774,1.6397369,1.9470596,0.02247986,-0.019718226,0.41509435,1.7840209,-7.840225,0.78402257,0.12217928,0.6300479,0.9999984,-0.6300479,1.0,0.00016803993,0.1453469,0.004432127,0.67631733,0.99609375,0.23828125,0.14551494,1.2379005,-1.2379005,-1.2407762,-0.5045805,1.6500003,1.9494686,60000
1.7758288,-7.7583046,0.7758305,0.10169926,0.5920038,0.9999983,-0.5920038,1.0,0.000105134444,0.030668307,0.007171698,0.5179837,0.99609375,0.31640625,0.030773442,1.4569525,-1.4569523,-1.4608098,-0.4732638,1.953809,2.238737,0.017107878,-0.013317869,0.36980176,1.7806389,-7.806407,0.7806407,0.11372471,0.58728766,0.9999982,-0.58728766,1.0,0.00017094375,0.15405834,0.004794374,0.6563901,0.99609375,0.21875,0.15422928,1.2285872,-1.2285872,-1.231501,-0.48554486,1.8292066,2.139929,90000
1.7725921,-7.7259364,0.7725937,0.09360716,0.6589643,0.99999845,-0.6589643,1.0,0.00029276757,0.008322332,0.004778455,0.49860406,0.99609375,0.33203125,0.0086151,1.5464259,-1.546426,-1.5506723,-0.4636172,2.1159806,2.4150014,0.024805881,-0.04126136,0.49915454,1.7855291,-7.8553076,0.7855307,0.12594976,0.6448338,0.99999845,-0.6448338,1.0,0.00027007633,0.18309045,0.005088061,0.5987278,0.99609375,0.27734375,0.18336053,1.1957058,-1.1957059,-1.1984897,-0.48579645,1.9247398,2.239438,120000
1.7720895,-7.720911,0.77209115,0.09235072,0.60150546,0.99999833,-0.60150546,1.0,9.6562384e-05,-0.027338082,0.010722915,0.5292084,0.99609375,0.3203125,-0.027241519,1.6290286,-1.6290288,-1.6336075,-0.46139127,2.1637018,2.466763,0.01823441,-0.01717984,0.34437752,1.781909,-7.8191066,0.78191066,0.11689957,0.6399143,0.9999984,-0.6399143,1.0,0.00042387767,0.11485328,0.006597325,0.55815524,0.99609375,0.2109375,0.115277156,1.27278,-1.27278,-1.2757797,-0.5077838,1.9910283,2.3108315,150000
1.7719798,-7.7198133,0.7719814,0.092076406,0.616496,0.99999833,-0.616496,1.0,0.00013587126,-0.086502895,0.005083218,0.5715515,0.99609375,0.3125,-0.086367026,1.6919999,-1.6919999,-1.6967071,-0.491639,2.2947576,2.5697083,0.024557859,-0.040147312,0.4275308,1.7845557,-7.845573,0.7845573,0.12351614,0.63949096,0.99999845,-0.63949096,1.0,0.00032528752,0.111316286,0.004892759,0.6032882,0.99609375,0.22265625,0.11164157,1.2781597,-1.2781596,-1.2810507,-0.54092646,2.071924,2.3744545,180000
1.7722173,-7.722188,0.7722188,0.09266994,0.6365429,0.99999845,-0.6365429,1.0,7.471149e-05,0.05121238,0.0042562,0.5500336,0.99609375,0.31640625,0.051287092,1.3965917,-1.3965917,-1.4000634,-0.51127565,2.0563836,2.3651376,0.033933394,-0.02586246,0.4216158,1.7842739,-7.8427525,0.7842753,0.12281105,0.6681002,0.9999985,-0.6681002,1.0,0.00031091488,0.10328538,0.0056355447,0.7483158,0.99609375,0.203125,0.10359629,1.2544279,-1.2544279,-1.2571367,-0.56367505,1.9827904,2.3085623,210000
1.7681375,-7.681391,0.7681391,0.082470685,0.62871194,0.9999984,-0.62871194,1.0,8.945803e-05,0.07426953,0.0040287524,0.69123256,0.99609375,0.26171875,0.07435899,1.3888707,-1.3888707,-1.3924396,-0.47880983,2.0699248,2.3919246,0.017220182,-0.015114996,0.32710353,1.7830955,-7.830969,0.7830969,0.119865105,0.6826571,0.99999857,-0.6826571,1.0,0.0006726912,0.13602942,0.0058884323,0.6767036,0.99609375,0.23046875,0.13670212,1.2206254,-1.2206254,-1.2232952,-0.5397812,1.9844496,2.3029401,240000
1.7737877,-7.737894,0.7737894,0.09659639,0.63007,0.9999984,-0.63007,1.0,0.000103573846,-0.025627911,0.0042973217,0.7700175,0.99609375,0.35546875,-0.025524337,1.5909592,-1.5909592,-1.5952947,-0.4853645,2.24901,2.5659854,0.052468896,-0.03634055,0.438895,1.7817506,-7.817521,0.7817521,0.11650321,0.66773844,0.99999845,-0.66773844,1.0,0.0006234173,0.107668445,0.011349067,0.867106,0.99609375,0.1875,0.108291864,1.2536416,-1.2536417,-1.256391,-0.55254316,2.0379066,2.3829274,270000
1.7700443,-7.7004576,0.7700458,0.087237366,0.65300715,0.99999845,-0.65300715,1.0,0.0001258522,0.03426867,0.004098708,0.5939437,0.99609375,0.26953125,0.03439452,1.4230759,-1.4230759,-1.4266092,-0.52207553,2.1855412,2.4903522,0.06505472,-0.038104802,0.4865896,1.7839613,-7.839629,0.7839629,0.12203023,0.6417301,0.99999845,-0.6417301,1.0,0.00054528745,0.08221929,0.008953065,0.5546084,0.99609375,0.25390625,0.08276457,1.3693621,-1.3693621,-1.3727138,-0.51466054,2.1850781,2.4978075,300000
