training/grad/max,training/grad/min,training/grad/norm,training/high_actor/actor_loss,training/high_actor/adv,training/high_actor/bc_log_prob,training/high_actor/mse,training/high_actor/std,training/high_value/high_v_max,training/high_value/high_v_mean,training/high_value/high_v_min,training/high_value/high_value_loss,training/low_actor/actor_loss,training/low_actor/adv,training/low_actor/bc_log_prob,training/low_actor/mse,training/low_actor/std,training/low_value/low_v_max,training/low_value/low_v_mean,training/low_value/low_v_min,training/low_value/low_value_loss,validation/high_actor/actor_loss,validation/high_actor/adv,validation/high_actor/bc_log_prob,validation/high_actor/mse,validation/high_actor/std,validation/high_value/high_v_max,validation/high_value/high_v_mean,validation/high_value/high_v_min,validation/high_value/high_value_loss,validation/low_actor/actor_loss,validation/low_actor/adv,validation/low_actor/bc_log_prob,validation/low_actor/mse,validation/low_actor/std,validation/low_value/low_v_max,validation/low_value/low_v_mean,validation/low_value/low_v_min,validation/low_value/low_value_loss,step
6.19911,-6.523079,197.26033,570.7168,1.708787,-9.640308,0.090184666,1.0,0.28275648,-17.049484,-84.361946,2.1030028,169.83664,0.42598623,-7.627027,0.068879634,1.0,0.07801962,-34.95591,-79.798744,0.98519534,559.8469,1.4085325,-9.722424,0.1066077,1.0,0.2184446,-16.238728,-83.04965,2.7092717,159.49924,0.35990596,-7.6317053,0.07004936,1.0,0.11603899,-34.354286,-79.7428,1.3060529,30000
15.008715,-20.429943,308.47955,534.6294,1.430769,-9.887501,0.13962315,1.0,0.13223863,-17.372997,-104.34082,2.68683,162.72903,0.38532954,-7.6032705,0.06294057,1.0,0.37291756,-35.454258,-95.908,1.4591184,547.62085,1.5112146,-9.888071,0.13973705,1.0,0.11100291,-17.688385,-101.53746,2.5736284,167.27158,0.36110216,-7.6507425,0.07480858,1.0,0.35815108,-36.130127,-95.73314,1.1225619,60000
49.089252,-41.66079,620.1436,604.2554,1.783658,-9.523476,0.06681802,1.0,0.40788573,-17.746948,-103.67942,2.606896,178.30127,0.38629457,-7.586253,0.058686405,1.0,0.11919181,-39.366135,-100.54184,1.5396655,581.9638,1.7494895,-9.689787,0.100080304,1.0,0.2804266,-17.252558,-101.17912,4.7885084,193.1503,0.53516096,-7.6495714,0.07451574,1.0,0.081342176,-39.07444,-100.72183,1.3358235,90000
5.824122,-7.527973,218.67339,562.34436,1.5751884,-9.55794,0.07371086,1.0,0.14564916,-17.157421,-102.58118,2.667644,176.68846,0.47369474,-7.569415,0.05447666,1.0,0.24023305,-38.96969,-102.04779,0.98303974,576.5487,1.7689561,-9.73403,0.108928874,1.0,0.11434737,-17.624756,-102.327965,5.1157,160.6405,0.37994844,-7.648966,0.07436431,1.0,0.18837766,-40.485878,-101.2537,1.3336314,120000
7.2946324,-7.9608703,258.3751,555.75867,1.6929973,-9.547897,0.07170248,1.0,0.19320308,-16.899868,-105.78769,6.7490816,173.02762,0.4562272,-7.5861497,0.05866038,1.0,0.20532309,-38.504387,-101.745316,1.2928665,619.4633,2.145218,-9.669739,0.09607076,1.0,0.21797217,-16.29027,-101.59033,9.642842,161.37543,0.40076077,-7.666713,0.0788012,1.0,0.15530042,-39.65178,-101.216934,1.8212206,150000
12.251078,-10.401259,280.52856,583.5648,1.7051859,-9.522985,0.06671991,1.0,0.31166977,-17.662197,-103.80665,5.0618453,167.92174,0.46648657,-7.5539846,0.050619118,1.0,0.046908446,-40.328064,-101.392395,1.658817,582.1953,1.7547264,-9.640374,0.090197876,1.0,0.26203242,-18.253372,-101.42609,3.930942,178.84323,0.46533364,-7.6454887,0.07349503,1.0,0.02523981,-40.877052,-101.44588,1.9311635,180000
6.5692687,-12.492173,200.17493,575.1825,1.875365,-9.564289,0.0749807,1.0,0.106801294,-18.243837,-103.68681,2.769061,137.3261,0.3427266,-7.561428,0.052480094,1.0,0.03806663,-39.864647,-101.359604,0.98546505,592.45886,1.6732606,-9.739611,0.11004515,1.0,0.08490052,-18.564333,-100.9595,3.028748,163.58966,0.42676777,-7.64321,0.07292549,1.0,0.032501474,-40.58364,-101.27025,1.3467522,210000
9.119799,-6.0684805,249.0669,592.30273,1.7095859,-9.515394,0.065201886,1.0,0.21732807,-19.37256,-105.72339,2.0732653,161.38002,0.36660227,-7.5591335,0.051906317,1.0,0.010826062,-37.642693,-101.043594,1.425489,591.8618,1.7531636,-9.66813,0.09574895,1.0,0.40083456,-18.358526,-100.34402,5.343428,173.09193,0.51610696,-7.671275,0.079941705,1.0,0.05808949,-39.288933,-100.81584,2.1934268,240000
22.879173,-17.295757,379.48514,583.56366,1.586693,-9.653612,0.09284552,1.0,0.28262398,-17.792583,-102.87814,4.3042316,174.9786,0.44722742,-7.554488,0.050744925,1.0,0.023597322,-39.876366,-101.08372,1.0121734,557.6711,1.6827021,-9.881878,0.13849853,1.0,0.12274423,-17.898785,-100.30556,13.003852,165.42543,0.35714084,-7.668642,0.07928353,1.0,-0.17293227,-38.397152,-101.56115,2.0610733,270000
9.611078,-6.98722,224.2779,606.01495,1.7296776,-9.46126,0.05437496,1.0,0.13995224,-17.370123,-106.051735,4.758563,144.47794,0.378832,-7.5624394,0.05273278,1.0,0.016921766,-37.5548,-101.17922,2.2638059,598.628,1.7436769,-9.654497,0.09302248,1.0,0.16146122,-18.407198,-100.52632,5.7245216,166.26231,0.49998206,-7.6774144,0.08147649,1.0,0.065020174,-41.378326,-100.691635,2.8941464,300000
