training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0099319,-9.932021,0.009932023,0.64512837,16.643246,0.9999999,-16.643246,1.0,0.6117104,244.81088,-199.87305,2416.4163,174.33136,885.2468,390.50635,2.5086114,0.047177587,3.1604495,0.60881066,0.031801313,805.074,2.272252,214.58505,212.3128,1.009929,-9.929073,0.009929074,0.6443913,16.215464,0.9999999,-16.215464,1.0,0.6195751,181.49419,881.39685,382.2176,1.6730987,0.061502047,2.7822092,0.6170974,0.020964101,805.06476,-9.259892,221.74744,231.00732,30000
1.0103987,-10.39889,0.010398891,0.7618454,18.086437,0.9999999,-18.086437,1.0,0.6142132,130.50906,-134.89557,1411.9233,170.60947,913.60443,407.96906,1.8472189,0.05119829,3.0404038,0.61362535,0.008740726,781.33246,-0.93626136,209.67609,210.61235,1.0104941,-10.494202,0.010494202,0.7856734,18.304094,0.99999994,-18.304094,1.0,0.62959695,179.21262,915.5143,393.23425,2.3511693,0.04806379,2.7339613,0.62619007,0.016987745,781.28217,1.5127281,218.27672,216.76399,60000
1.0104146,-10.414768,0.010414768,0.7658149,17.84415,0.9999999,-17.84415,1.0,0.64680743,431.52042,-408.05304,2279.4783,173.91667,933.8636,397.75342,1.0166023,0.058307577,2.5871897,0.64649546,0.015199251,769.805,-6.3952136,212.40692,218.80214,1.0104107,-10.410728,0.010410729,0.7648051,18.20079,0.9999999,-18.20079,1.0,0.6092051,184.88603,924.9107,381.8275,0.8078606,0.035982065,2.6996336,0.60453707,0.021120764,769.79254,10.790902,223.37567,212.58476,90000
1.010626,-10.6261215,0.0106261205,0.81865317,18.645615,0.9999999,-18.645615,1.0,0.6306572,442.43732,-591.4852,2495.1465,167.73256,944.0759,408.3638,1.2759503,0.044675294,2.9358478,0.6343299,0.020542895,768.09924,4.089903,206.13753,202.04762,1.0105921,-10.592264,0.010592265,0.81018907,17.981247,0.9999999,-17.981247,1.0,0.60595715,179.55344,923.1975,390.9453,0.21502241,0.03415837,2.2200773,0.6085914,0.024970207,768.0176,12.16665,217.95432,205.78766,120000
1.0110186,-11.018698,0.011018697,0.9167973,17.72462,0.9999999,-17.72462,1.0,0.62700826,364.21265,-226.06226,1704.7141,164.4191,962.3725,415.25513,1.2616446,0.06085766,3.2723846,0.62352574,0.018553168,763.5605,-8.290481,202.59712,210.8876,1.0110441,-11.044248,0.011044248,0.9231849,17.596848,0.9999999,-17.596848,1.0,0.5956665,171.18596,949.18396,408.2422,1.1365411,0.040309533,2.7416542,0.604645,0.021272864,763.586,7.399505,209.36526,201.96576,150000
1.0120194,-12.019524,0.012019525,1.1670041,18.193962,0.9999999,-18.193962,1.0,0.60868436,274.5681,-345.5907,1825.2202,171.02448,943.8289,407.26855,0.76409274,0.04777413,2.694321,0.617893,0.009753062,755.2692,1.6811327,208.78795,207.10681,1.0118263,-11.82637,0.01182637,1.1187155,17.90857,0.9999999,-17.90857,1.0,0.6113695,178.84595,970.6141,393.297,2.6612809,0.04567355,2.5227854,0.6265398,0.016559023,755.3117,3.2678194,216.61154,213.34372,180000
1.0125598,-12.559815,0.012559816,1.3020767,18.044996,0.99999994,-18.044996,1.0,0.65676713,510.3928,-378.0294,2698.9407,166.3516,970.614,413.80493,0.68232167,0.08846543,3.8723185,0.6662042,0.018706089,753.026,-28.965467,204.00288,232.96835,1.0124248,-12.424959,0.012424959,1.2683628,17.958591,0.9999999,-17.958591,1.0,0.5938417,169.34657,968.1133,410.898,3.0732872,0.03826176,2.9590032,0.5989482,0.008610963,753.1032,8.840107,207.00172,198.16162,210000
1.0123706,-12.370697,0.012370698,1.2547975,17.332905,0.9999999,-17.332905,1.0,0.59875005,136.04907,-170.48903,1235.8704,155.51602,957.6483,428.72992,0.370318,0.041684188,3.0125337,0.61185753,0.012786406,749.79016,6.2351146,193.00552,186.77042,1.0123144,-12.314508,0.01231451,1.2407501,18.042747,0.99999994,-18.042747,1.0,0.62961066,163.6575,941.10583,416.7953,1.875874,0.050084822,2.8016098,0.6303745,0.034309454,749.8027,-0.06359912,201.14764,201.21124,240000
1.0123906,-12.390734,0.012390734,1.2598064,17.27549,0.9999999,-17.27549,1.0,0.64268357,229.0328,-278.25143,1683.6548,165.09752,1035.6066,419.64255,0.5661209,0.050038986,3.4840586,0.61547995,0.013882524,739.66113,-0.02883581,202.08057,202.1094,1.0125412,-12.541264,0.012541264,1.297439,18.174719,0.99999994,-18.174719,1.0,0.61967087,161.80124,1019.8116,424.05118,1.0758069,0.04072638,2.866647,0.61304045,0.016374277,739.6382,6.859125,198.78316,191.92403,270000
1.0123184,-12.31855,0.012318551,1.2417605,17.34641,0.9999999,-17.34641,1.0,0.6141258,255.94518,-166.01228,1015.08026,166.65149,1012.85126,420.7339,1.7831277,0.04568864,2.7057633,0.62726116,0.015297087,738.93915,3.185833,203.59845,200.41261,1.0123781,-12.378195,0.012378195,1.2566715,18.434994,0.9999999,-18.434994,1.0,0.6392101,152.56424,1015.8367,438.6716,1.6714354,0.053907435,2.516154,0.6532973,0.013987767,738.9173,-2.887271,189.5101,192.39737,300000
1.0123235,-12.323673,0.012323674,1.2430413,17.899422,0.9999999,-17.899422,1.0,0.7370429,268.33072,-624.0851,2230.6072,160.29218,1080.085,429.94897,1.9935325,0.058153003,3.7576997,0.642614,0.015443098,736.7107,-6.0064044,197.1277,203.13411,1.012448,-12.448103,0.012448104,1.2741488,17.367065,0.9999999,-17.367065,1.0,0.6737992,160.39902,1068.2439,428.79688,0.5473695,0.059246838,3.3866746,0.6396806,0.012625261,736.70654,-6.812206,197.23434,204.04655,330000
1.0124438,-12.443782,0.012443782,1.2730682,18.298325,0.99999994,-18.298325,1.0,0.62099814,457.81198,-303.85208,2118.9424,158.13846,1056.2968,434.93854,1.0555618,0.054234482,2.5785365,0.6382552,0.017844504,724.63257,-3.0684433,194.37009,197.43854,1.012359,-12.35904,0.012359041,1.251883,19.322124,0.99999994,-19.322124,1.0,0.61829793,162.4205,1095.7109,429.27997,0.93729436,0.03749764,2.9884987,0.6232376,0.028645633,724.69617,9.060413,198.6553,189.5949,360000
1.0125135,-12.513659,0.012513659,1.2905376,16.85759,0.9999999,-16.85759,1.0,0.993718,209.3102,-408.50958,1763.7758,163.63611,1146.1936,430.12604,1.1028922,0.04443828,2.6665022,0.63872266,0.016170945,719.6383,4.002427,199.61803,195.6156,1.0125425,-12.542496,0.0125424955,1.2977468,18.535969,0.99999994,-18.535969,1.0,0.59264326,157.22792,1094.9573,438.99313,1.2450051,0.04108207,3.9026055,0.6040728,0.014614733,719.6342,6.417649,193.20963,186.79198,390000
1.0126694,-12.669531,0.01266953,1.3295054,18.267467,0.9999999,-18.267467,1.0,0.6580508,211.96942,-253.48642,1346.5985,154.32788,1053.2308,446.48557,2.0901275,0.047250554,2.602308,0.6233292,0.020918585,718.9537,1.9767249,190.27557,188.29884,1.0125394,-12.539534,0.012539534,1.2970064,17.717579,0.9999999,-17.717579,1.0,0.7399051,163.33554,1053.5735,428.92722,1.0598598,0.06198232,3.414737,0.64707786,0.015257693,718.9811,-8.61506,199.28459,207.89966,420000
1.012554,-12.554153,0.012554155,1.3006616,18.319832,0.9999999,-18.319832,1.0,0.6335731,492.46375,-241.9052,1906.4625,156.3563,1100.6237,447.40875,1.1776041,0.06100457,2.9513013,0.6379794,0.01703629,714.768,-7.865715,192.0947,199.9604,1.0124673,-12.467337,0.012467337,1.2789569,18.593409,0.9999999,-18.593409,1.0,0.65297925,159.75,1143.5225,435.76245,2.230619,0.059274763,3.4076593,0.66418946,0.026336439,714.8553,-6.6301126,195.49277,202.12288,450000
