training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0278703,-9.290084,0.027870253,0.48464397,128.07802,1.0,-128.07802,1.0,0.64020157,174.39467,-165.75395,1935.3217,262.97223,899.6854,287.02032,0.25656432,0.05142438,3.202922,0.63723546,0.023323882,572.8684,-0.8159821,291.61566,292.43164,1.0277874,-9.262487,0.027787462,0.47774488,125.35926,1.0,-125.35926,1.0,0.6537571,272.73944,884.4233,273.6152,0.25198987,0.0678679,2.849425,0.65209454,0.0366991,572.8867,-10.23628,301.3838,311.62006,30000
1.0278637,-9.287907,0.027863719,0.48409957,129.37195,1.0,-129.37195,1.0,0.6436549,163.72398,-158.54149,1249.6519,268.385,922.9263,286.53824,0.26061377,0.051313195,2.9750466,0.64395165,0.030613456,560.29,-0.7357698,296.3995,297.13528,1.0279633,-9.321113,0.027963338,0.49240112,140.805,1.0,-140.805,1.0,0.6563001,273.2566,928.28033,274.97458,0.105520196,0.045737,2.5345342,0.6538849,0.02829519,560.25415,2.3883648,301.2693,298.88092,60000
1.0278604,-9.286804,0.027860414,0.48382398,126.23233,1.0,-126.23233,1.0,0.6715827,295.001,-204.24393,1766.1152,267.2897,929.17615,282.6646,0.15285732,0.055516113,2.7613792,0.6742976,0.021976609,551.85925,-3.0441175,294.88266,297.9268,1.0279307,-9.310228,0.027930688,0.48968023,131.83775,1.0,-131.83775,1.0,0.6424769,269.2027,917.69635,281.99152,0.04702567,0.035849795,2.6955178,0.6362155,0.03978163,551.83685,7.808605,296.79453,288.98593,90000
1.0278906,-9.296848,0.027890544,0.48633492,128.88664,1.0,-128.88664,1.0,0.6741102,361.75,-323.9146,1699.0458,270.95816,955.3342,281.25885,0.0,0.045501612,3.0028768,0.6759931,0.027309226,551.9105,2.482708,298.55368,296.07098,1.0278265,-9.2755165,0.027826548,0.48100194,131.68394,1.0,-131.68394,1.0,0.63999736,268.91397,971.707,283.34265,0.0,0.036024418,2.2815855,0.6426159,0.029003039,551.8771,7.712804,296.5078,288.795,120000
1.0278232,-9.274424,0.02782327,0.4807287,141.21246,1.0,-141.21246,1.0,0.6609074,168.17548,-144.27823,1110.0988,262.6334,947.6585,291.77246,0.0,0.059557524,3.1368392,0.6624205,0.037264973,548.86615,-5.245801,290.07672,295.3225,1.0277685,-9.256166,0.0277685,0.47616452,137.82791,1.0,-137.82791,1.0,0.6310365,259.3614,957.10297,298.85217,0.15128562,0.03945753,2.625048,0.6337568,0.018541256,548.8887,5.786643,286.80582,281.01917,150000
1.027921,-9.306974,0.027920922,0.4888664,122.3647,1.0,-122.3647,1.0,0.64533293,201.86542,-212.3478,1284.3071,276.86194,944.34314,273.93878,0.12891832,0.046790317,2.7109666,0.6537638,0.035908327,543.045,1.7430028,304.0142,302.27118,1.0280826,-9.360855,0.028082564,0.5023366,142.12523,1.0,-142.12523,1.0,0.64371073,269.14966,991.91656,283.58255,0.0,0.045702618,2.466406,0.6591816,0.037647605,543.0905,2.333868,296.30417,293.9703,180000
1.0279291,-9.309687,0.027929056,0.48954442,134.7827,1.0,-134.7827,1.0,0.69581497,347.64572,-284.43304,2012.4738,260.67157,969.17126,294.62732,0.0,0.08445184,4.0339985,0.7038032,0.03847159,541.67505,-18.661701,287.7553,306.41702,1.0279292,-9.30974,0.02792922,0.48955792,140.67937,1.0,-140.67937,1.0,0.63561183,265.75607,972.0707,287.92123,0.12910086,0.05162418,3.144738,0.6426732,0.037552178,541.72284,-0.8798544,292.84222,293.72208,210000
1.027854,-9.28467,0.027854007,0.48329023,143.8869,1.0,-143.8869,1.0,0.6410003,89.95593,-129.88428,883.55176,247.87589,957.1057,315.3534,0.12438279,0.044068076,3.0837114,0.65287375,0.033625163,539.8631,3.2024274,274.86905,271.66663,1.027959,-9.319661,0.027958982,0.4920381,131.86624,1.0,-131.86624,1.0,0.6644834,258.84552,946.32874,303.75162,0.24083956,0.052224245,2.7713525,0.66724604,0.0140437605,539.86285,-1.2007868,285.83868,287.03946,240000
1.0278724,-9.290843,0.027872529,0.4848337,144.89648,0.99999994,-144.89648,1.0,0.67105985,219.5694,-189.81084,1385.3378,268.16534,1026.6188,289.85843,0.0,0.05039256,3.455607,0.65985805,0.03803461,533.3064,-0.20935471,294.83066,295.04,1.0279403,-9.3134365,0.02794031,0.49048215,122.782745,1.0,-122.782745,1.0,0.66139877,255.38641,980.9268,306.94873,0.0,0.047262803,2.8225033,0.6606957,0.038544368,533.3023,1.459754,282.0515,280.59177,270000
1.0278524,-9.284145,0.027852438,0.48315936,144.27426,1.0,-144.27426,1.0,0.6555325,169.54678,-91.26244,768.5782,255.97054,1064.8341,308.3236,0.0,0.048217207,2.5736096,0.6671236,0.033107102,534.5618,0.95301336,282.6986,281.7456,1.0280331,-9.344417,0.028033251,0.49822718,143.45798,0.99999994,-143.45798,1.0,0.6842092,248.86484,1036.264,317.54105,0.0,0.056538332,2.8374457,0.69901466,0.009964234,534.5611,-3.4951377,275.5929,279.08804,300000
