training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.023619,-7.873007,0.023619018,0.13037457,91.49253,1.0,-91.49253,1.0,0.56579447,1186.0638,-697.2731,3303.7668,320.37436,646.9048,190.6069,0.78862375,0.060679242,3.9254823,0.83808416,0.0049043996,508.22614,-5.4274697,345.78568,351.21313,1.0238652,-7.955065,0.023865195,0.1508892,87.18411,1.0,-87.18411,1.0,0.5754511,323.15826,656.0961,186.27502,0.62615854,0.0564825,4.054074,0.8456118,0.0029396687,508.2458,-3.2947037,348.57056,351.86526,30000
1.0232846,-7.761508,0.023284525,0.1025,98.37767,1.0,-98.37767,1.0,0.5166439,123.33989,-120.91939,1226.7843,298.22525,1039.8604,247.78798,1.6798563,0.04862097,2.0022788,0.85015655,0.0039982395,431.88965,0.5955895,319.81973,319.22415,1.0233896,-7.796541,0.023389623,0.11125833,101.511314,1.0,-101.511314,1.0,0.46866187,298.9375,1024.143,247.47525,0.43838406,0.058488216,2.8893003,0.8706645,0.002169611,431.868,-3.6657887,320.53088,324.1967,60000
1.0229851,-7.6616955,0.022985086,0.07754677,95.545105,1.0,-95.545105,1.0,0.4581968,83.5238,-268.80676,999.12274,296.61426,1129.3174,254.59145,0.98889863,0.047619093,2.6594996,0.8592895,0.004884718,434.85687,1.035354,318.3571,317.32175,1.0231066,-7.7021785,0.023106536,0.08766754,99.58534,1.0,-99.58534,1.0,0.5872755,294.02377,1097.2925,256.4314,1.2723382,0.10121268,5.812709,0.8905282,0.0040102405,434.85132,-22.269901,315.76636,338.03625,90000
1.0227807,-7.5935483,0.022780646,0.060510017,96.64371,1.0,-96.64371,1.0,0.43554676,85.86741,-69.428444,697.54175,296.7829,1196.9105,264.02142,0.22840652,0.048569016,2.0374753,0.8649379,0.0024799467,433.10452,0.6197659,318.4381,317.81836,1.023008,-7.669326,0.023007978,0.07945448,96.938194,1.0,-96.938194,1.0,0.41232875,289.31525,1183.9808,267.98224,0.016551226,0.090110585,5.5378814,0.8744767,0.005592024,433.09833,-17.371826,310.97015,328.34198,120000
1.0227436,-7.581211,0.022743633,0.057425756,96.45019,1.0,-96.45019,1.0,0.6418638,80.38425,-72.1001,653.4905,292.6331,1184.3,270.21198,0.40968543,0.040270336,2.0784235,0.8472188,0.003127096,435.87933,4.2409596,314.42706,310.1861,1.0229596,-7.653182,0.022959549,0.07541859,99.06096,1.0,-99.06096,1.0,0.44726616,286.9607,1144.7885,273.82632,0.09260545,0.06748876,3.763846,0.8808483,0.0050976216,435.8714,-7.62285,308.75424,316.3771,150000
1.0227731,-7.591063,0.022773191,0.05988878,96.16755,1.0,-96.16755,1.0,0.44449723,53.635216,-58.81814,551.36285,285.774,1273.5225,294.52805,0.55244637,0.050431423,2.22404,0.85754466,0.004043579,428.45834,-0.18484642,307.1969,307.38174,1.0229853,-7.66179,0.02298537,0.07757049,100.79251,1.0,-100.79251,1.0,0.4458654,290.59595,1222.9415,276.44476,1.9573364,0.096562415,6.108575,0.91300684,0.014587402,428.45612,-19.949951,312.01874,331.9687,180000
1.0227573,-7.5858035,0.022757411,0.05857385,99.77365,0.99999994,-99.77365,1.0,0.45606953,72.23904,-72.02156,609.3766,289.29938,1267.5876,280.0009,1.065033,0.045429874,2.5830622,0.87752277,0.003938675,441.95306,2.0197814,311.39703,309.37726,1.0229986,-7.6661825,0.022998549,0.0786687,98.86441,1.0,-98.86441,1.0,0.46102524,283.54138,1207.5183,287.6003,1.676691,0.06194244,5.5442505,0.86604834,0.00806427,441.9514,-5.2779775,305.63895,310.91693,210000
1.0227671,-7.5890036,0.022767011,0.059373878,101.133606,1.0,-101.133606,1.0,0.50933933,137.81708,-179.52284,1088.1951,290.69177,1373.6573,288.79993,1.4485989,0.045722164,2.1160269,0.880003,0.0067071915,431.18835,1.8445534,312.2512,310.40665,1.0229647,-7.654905,0.022964716,0.07584919,102.11372,1.0,-102.11372,1.0,0.51315653,287.45886,1382.7437,284.54895,1.1503296,0.068816856,3.2184153,0.9126556,0.0048675537,431.17975,-8.113447,309.01785,317.1313,240000
1.0227237,-7.5745378,0.022723615,0.055757485,106.932365,1.0,-106.932365,1.0,0.48472863,89.103836,-56.472034,650.97424,283.77777,1383.1948,295.42017,3.2117567,0.052485693,2.0902023,0.90187263,0.0041007996,434.3388,-1.0796328,305.49472,306.57434,1.0231104,-7.7035007,0.023110503,0.08799814,101.32761,0.99999994,-101.32761,1.0,0.6010664,284.6145,1353.095,296.7601,0.5278864,0.3329937,11.28223,0.9559865,0.00519228,434.33633,-122.91444,306.33133,429.24576,270000
1.0227561,-7.5853825,0.022756148,0.058468603,100.679565,1.0,-100.679565,1.0,0.6216852,77.56953,-68.37533,678.486,286.09256,1431.9556,298.56323,2.6110287,0.051391616,2.04599,0.8943728,0.0045700073,434.26718,-0.60433304,307.8059,308.41025,1.0230373,-7.6790514,0.023037154,0.08188578,103.92835,1.0000001,-103.92835,1.0,0.54652965,279.2021,1385.9717,314.35333,2.3892212,0.11103142,6.733842,0.91116244,0.0023956299,434.2659,-26.503864,300.91537,327.41925,300000
