training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0237774,-7.9257946,0.023777384,0.14357156,81.28428,1.0,-81.28428,1.0,0.73159206,185.34648,-155.36604,1505.0175,354.77417,499.84015,149.29964,2.789316,0.064226955,2.6859024,0.79816425,0.0020312394,484.01923,-6.8861194,378.97516,385.86127,1.0240265,-8.008835,0.024026508,0.16433187,80.69058,1.0,-80.69058,1.0,0.71937627,352.68143,438.1222,151.43954,2.3036144,0.058568336,2.5661466,0.7814939,0.0026677048,484.00516,-4.1471186,376.88168,381.0288,30000
1.0238421,-7.947381,0.023842145,0.14896828,75.05386,1.0,-75.05386,1.0,0.64798665,212.82492,-131.49103,865.3823,339.20074,834.17395,168.45695,8.337545,0.04222218,2.2442734,0.77072597,0.0032982696,501.9716,3.9042454,364.29932,360.39508,1.0241203,-8.040128,0.024120383,0.17215487,82.25864,1.0,-82.25864,1.0,0.69480944,341.9678,757.6307,164.16748,0.020465354,0.0847114,3.5957713,0.7956188,0.0010816449,501.9419,-17.423107,367.0649,384.488,60000
1.0239189,-7.972936,0.02391881,0.15535703,78.39945,1.0,-78.39945,1.0,0.66932136,238.01967,-201.02734,1061.9366,326.2161,1080.8423,197.43288,11.14392,0.043354712,2.2030697,0.77421254,0.0016819519,475.60834,3.1605546,349.99652,346.83597,1.0241109,-8.036959,0.024110876,0.17136268,83.43181,1.0,-83.43181,1.0,0.83653975,331.49918,991.5844,181.47186,0.20510937,0.33771175,16.939005,0.86208284,0.004438483,475.58566,-136.83157,355.27847,492.11005,90000
1.0239046,-7.968205,0.023904614,0.15417418,78.83646,1.0,-78.83646,1.0,0.7013095,319.7276,-418.13702,1230.006,320.28622,1194.5431,209.23996,2.3129618,0.04277537,2.511645,0.78172874,0.002827872,481.6143,3.4794853,344.36694,340.88745,1.0241865,-8.062145,0.024186436,0.1776593,76.63953,1.0,-76.63953,1.0,0.75251186,329.275,1060.9933,189.3189,7.378409,0.11839538,6.751527,0.8508643,0.0033793913,481.6042,-32.9395,353.35522,386.2947,120000
1.023823,-7.9410124,0.023823038,0.14737603,75.78607,1.0,-75.78607,1.0,0.5292909,140.11986,-264.4665,796.6809,321.2256,1264.9467,210.28714,4.3824015,0.045135617,3.1435823,0.76759505,0.0041801585,476.22375,2.316535,345.03677,342.72025,1.0242392,-8.079709,0.024239127,0.18205012,79.176605,1.0,-79.176605,1.0,0.80207944,329.43628,1131.7448,191.86397,2.1511245,0.17764063,8.5461035,0.8433892,0.0018822877,476.21603,-60.784515,353.24707,414.0316,150000
1.0238528,-7.950946,0.023852836,0.14985935,77.12396,1.0,-77.12396,1.0,0.58186775,112.96445,-554.65216,1171.9086,315.75885,1283.6346,222.07062,4.9871845,0.04786636,2.9422336,0.7721448,0.0073966165,475.32718,1.0141778,339.52524,338.51105,1.0240642,-8.021387,0.02406416,0.16746965,83.02287,1.0,-83.02287,1.0,0.6592296,322.92325,1224.8019,204.20567,7.641313,0.112426415,5.029467,0.8212999,0.0036773202,475.30112,-29.671345,346.6883,376.35965,180000
1.0236894,-7.8964443,0.023689333,0.1362341,79.14674,1.0,-79.14674,1.0,0.5953646,175.4085,-239.57129,1061.1206,313.03497,1399.9851,239.0688,3.8256056,0.04504562,2.1516602,0.79260504,0.0056915265,473.2833,2.3448248,336.69913,334.3543,1.0239892,-7.996407,0.023989221,0.16122466,81.30179,1.0,-81.30179,1.0,0.7213562,323.12012,1489.9788,206.46411,2.9400034,0.28379607,10.797709,0.85597646,0.0022249215,473.26953,-110.64856,346.78357,457.43213,210000
1.0236495,-7.883148,0.023649443,0.13291004,77.47269,1.0,-77.47269,1.0,0.63571703,160.34616,-257.5103,961.39526,311.4627,1439.4524,246.39526,4.54018,0.057304617,2.6111755,0.81229067,0.0033769608,476.29688,-3.4791658,335.27756,338.7567,1.0238726,-7.95752,0.02387256,0.15150298,86.98614,1.0,-86.98614,1.0,0.7664801,315.53903,1242.592,216.8392,5.397657,0.21683308,7.875761,0.84181404,0.0025525093,476.2944,-79.46166,339.35376,418.81543,240000
1.0236121,-7.870723,0.023612168,0.12980357,78.83365,1.0,-78.83365,1.0,0.6628361,406.949,-1169.6202,2923.4153,305.34387,1367.3765,246.17984,8.575104,0.05579818,3.6243744,0.7575296,0.0038051605,482.66748,-2.7985928,329.47726,332.27585,1.023847,-7.948994,0.023846984,0.1493715,86.14494,1.0,-86.14494,1.0,0.76567006,316.31668,1171.7407,210.0438,5.149536,0.5722572,15.295837,0.88864404,0.0051879883,482.68268,-252.0845,340.45084,592.53534,270000
1.0235202,-7.8400936,0.02352028,0.12214634,79.07555,1.0,-79.07555,1.0,0.6180885,156.63799,-322.79123,992.0398,300.18387,1585.4575,259.0835,7.1030884,0.042855423,2.3936157,0.7784668,0.0034885406,477.66837,3.4127388,324.0673,320.65454,1.0239457,-7.9819117,0.023945736,0.15760094,85.342514,0.99999994,-85.342514,1.0,0.8050398,314.30295,1326.5596,223.28467,1.172226,0.6492373,12.922979,0.92475593,0.0042352676,477.6194,-286.20734,338.1839,624.39124,300000
1.0234241,-7.8080444,0.023424134,0.11413411,78.529755,1.0,-78.529755,1.0,0.6456327,136.56294,-243.2416,971.83813,296.55396,1662.581,268.2738,8.6931305,0.043002877,2.3473053,0.7992326,0.003189087,483.7112,3.384587,320.7395,317.35492,1.0239887,-7.996258,0.023988774,0.16118741,80.829544,1.0,-80.829544,1.0,0.88412356,304.26898,1627.1746,236.20586,5.646118,20.732151,136.90898,1.1006691,0.0043296814,483.70038,-10003.965,328.45312,10332.418,330000
1.0235602,-7.853403,0.023560207,0.12547366,80.521385,1.0,-80.521385,1.0,0.6562069,169.2003,-199.9621,933.83484,299.29233,1510.7432,261.9212,4.502529,0.06250484,2.8037796,0.82053995,0.0072135925,471.08673,-5.8908653,322.84665,328.73752,1.023902,-7.967369,0.023902109,0.15396523,84.86022,1.0,-84.86022,1.0,1.0562863,303.47043,1532.9751,241.99411,4.172373,0.6421484,11.500108,0.9519955,0.0033683777,471.17227,-279.00388,327.02908,606.03296,360000
1.023303,-7.76766,0.02330298,0.104037955,78.506485,1.0,-78.506485,1.0,0.65945387,736.01495,-776.4537,3281.7825,285.5003,1720.3164,302.09946,1.1203532,0.071786135,4.792862,0.8145156,0.0043182373,457.93604,-9.976656,308.39713,318.37378,1.0238625,-7.9541593,0.023862477,0.15066275,83.957886,1.0,-83.957886,1.0,0.79038876,302.55148,1475.6598,244.51308,8.778961,0.67034805,12.549935,0.92691064,0.0020132065,457.9426,-284.0838,325.4486,609.5324,390000
1.0233916,-7.7971826,0.023391549,0.11141861,80.01483,1.0,-80.01483,1.0,0.6281383,343.30157,-450.15335,1393.3545,305.30957,1581.9482,253.01042,11.338138,0.043858223,2.6694393,0.7977254,0.004180908,468.83124,2.8794575,328.75113,325.87167,1.0238955,-7.965191,0.023895575,0.15342078,86.85564,0.99999994,-86.85564,1.0,0.86147606,304.91922,1324.423,237.57187,1.8414078,1.0343595,23.720703,0.95198345,0.0073776245,468.79654,-461.4643,328.35907,789.82336,420000
1.0233797,-7.793211,0.023379633,0.110425726,76.08078,1.0,-76.08078,1.0,0.6304728,193.87662,-341.72214,1179.8541,290.3791,1828.9893,279.19476,7.7502747,0.047811735,2.2821484,0.808272,0.0054636,457.01132,1.000062,313.22964,312.22958,1.0237898,-7.9299345,0.023789804,0.14460668,85.26561,1.0,-85.26561,1.0,0.8418367,305.09595,1384.4866,244.92902,0.04402733,0.69270664,16.917984,0.92628753,0.0059096813,457.00848,-293.72238,327.94638,621.66876,450000
1.023347,-7.7823515,0.023347054,0.10771073,82.91979,1.0,-82.91979,1.0,0.6271626,150.84158,-154.41568,1006.8228,288.6613,1708.5806,282.62195,2.949133,0.05132873,2.3536835,0.8281776,0.005293846,452.6471,-0.6014454,311.29364,311.89508,1.0238637,-7.954563,0.023863688,0.15076372,87.38251,1.0,-87.38251,1.0,0.8769518,295.264,1429.1874,262.1072,7.427475,1.257843,21.621887,0.9558933,0.005428314,452.64017,-546.71826,317.896,864.61426,480000
1.0233289,-7.7763147,0.023328945,0.10620171,79.07405,1.0,-79.07405,1.0,0.7261485,598.9712,-876.5637,2219.8787,285.82355,1854.9541,303.86514,10.854716,0.054263216,3.2643063,0.7850405,0.00459671,448.88455,-1.9136913,308.26776,310.18146,1.0238767,-7.9588747,0.023876624,0.15184167,86.294914,1.0,-86.294914,1.0,0.9711549,294.16797,1765.7592,266.4395,2.4122925,0.9224598,14.1996155,0.9755314,0.004633665,448.90298,-391.64978,316.61316,708.26294,510000
1.0234213,-7.8070893,0.023421267,0.11389526,78.18907,1.0,-78.18907,1.0,0.67812943,202.4994,-290.18753,1201.2979,291.03613,1844.6259,293.56232,9.459183,0.049266096,2.1303253,0.8185775,0.006504059,457.29996,0.3356145,313.90112,313.56552,1.0238581,-7.952703,0.023858111,0.1502988,79.702705,1.0,-79.702705,1.0,0.9770981,289.12863,1411.3602,280.05722,5.497772,0.9652773,19.385803,0.9605468,0.0016613007,457.2799,-418.53793,311.99258,730.5305,540000
1.0234087,-7.8028917,0.023408676,0.1128459,80.75232,0.99999994,-80.75232,1.0,0.66479707,228.22728,-199.77461,1287.8392,288.01166,1687.5449,289.35577,7.188751,0.05074027,3.479145,0.7974962,0.0055007935,450.92795,-0.3338089,310.55807,310.89188,1.0237716,-7.9238806,0.023771642,0.14309311,92.61415,1.0,-92.61415,1.0,0.8961047,295.33133,1421.3738,258.6203,10.626261,0.27421927,8.259171,0.91266286,0.007238984,450.92517,-101.10612,317.8776,418.9837,570000
1.0234122,-7.804056,0.023412168,0.11313708,83.288216,1.0,-83.288216,1.0,0.6961544,123.211235,-113.40717,707.3524,287.2328,1808.3269,292.04822,14.16198,0.04277332,2.262909,0.8158147,0.0013914108,450.63626,3.2566037,309.7646,306.508,1.0238938,-7.964595,0.023893785,0.15327166,85.08471,1.0,-85.08471,1.0,1.0125408,290.25446,1480.3018,271.74634,11.645924,2.299767,24.709274,1.0525035,0.0032196045,450.65497,-1013.8687,312.7873,1326.656,600000
1.0233872,-7.7957115,0.023387136,0.11105094,80.11189,1.0,-80.11189,1.0,0.6937138,156.3674,-155.58554,811.75574,289.02258,1577.637,297.33826,9.421692,0.04656951,2.5295715,0.8049868,0.003768921,451.10864,1.5475235,311.578,310.0305,1.0238817,-7.96054,0.023881618,0.15225786,89.00685,1.0,-89.00685,1.0,0.99382174,297.24347,1427.2067,256.20178,8.774633,2.2594995,31.495697,1.0226707,0.0043640137,451.077,-996.6544,319.79724,1316.4517,630000
1.023402,-7.8006763,0.023402028,0.11229207,83.37496,0.99999994,-83.37496,1.0,0.6960401,91.115616,-98.419106,868.31476,283.23926,1875.0168,298.4824,10.807663,0.054102466,2.3177643,0.8436238,0.0033035278,462.1846,-1.896096,306.3485,308.2446,1.0238414,-7.9471145,0.023841344,0.14890157,91.328255,1.0,-91.328255,1.0,0.9914367,290.1748,1463.0387,266.36533,0.61735916,1.926206,31.949165,1.0147299,0.0032043457,462.15442,-867.0969,313.28247,1180.3794,660000
1.0234435,-7.81452,0.023443557,0.11575286,77.29677,0.99999994,-77.29677,1.0,0.6342379,83.91945,-63.52475,626.31274,284.96225,1722.3612,302.99182,7.9833612,0.038637333,2.091919,0.7895019,0.0030517578,443.67096,5.041286,307.1458,302.10452,1.0239191,-7.9730473,0.023919143,0.1553848,81.88296,0.99999994,-81.88296,1.0,1.0742905,300.96628,1572.5358,247.2768,4.3934174,0.7226778,13.053955,0.96228266,0.005842209,443.65616,-298.43765,323.14914,621.5868,690000
1.0233966,-7.7988777,0.023396634,0.111842416,81.95824,1.0,-81.95824,1.0,0.69351894,88.95108,-97.073265,748.60767,287.46387,2060.6187,296.39197,9.254452,0.04510922,2.5205994,0.796331,0.004573822,447.6935,2.189571,309.84854,307.65897,1.0239058,-7.96858,0.02390574,0.15426788,85.355835,1.0,-85.355835,1.0,0.9163059,291.93768,1406.5239,271.57428,7.486229,2.1236577,25.013859,1.0601511,0.004699707,447.64783,-928.2684,314.32,1242.5884,720000
1.0233793,-7.7931056,0.023379318,0.11039938,83.98507,1.0,-83.98507,1.0,0.706534,137.4299,-114.59358,927.205,285.54443,1919.0559,304.76523,8.524791,0.049655184,2.5991821,0.8373441,0.0045547485,439.26697,0.15146653,307.50778,307.35632,1.023848,-7.9493656,0.023848098,0.14946437,89.93074,1.0,-89.93074,1.0,0.97020125,286.36932,1736.3759,283.19406,10.019634,1.3131087,20.519354,1.0000097,0.0074748993,439.2613,-554.8348,308.33234,863.1671,750000
1.0233908,-7.7969427,0.02339083,0.11135865,75.26872,1.0,-75.26872,1.0,0.68845767,390.0166,-203.05345,2191.888,284.50555,1616.6271,301.44757,7.353424,0.046573196,2.9605408,0.80886626,0.0043492317,473.66986,1.6231743,308.18906,306.5659,1.023963,-7.987673,0.023963017,0.15904108,83.65454,1.0,-83.65454,1.0,1.154979,300.4043,1382.4918,257.357,4.8144455,3.4317334,27.931477,1.1053828,0.0026931763,473.69086,-1601.8962,324.08875,1925.985,780000
1.0233911,-7.7970243,0.023391074,0.111379005,82.4064,1.0,-82.4064,1.0,0.6587409,500.35614,-254.7288,2050.5212,284.70486,1629.5066,298.92346,5.30505,0.050017595,3.377945,0.814957,0.00844574,452.5066,-0.0079616485,307.3302,307.33817,1.0239859,-7.9953055,0.023985919,0.16094935,86.81645,1.0,-86.81645,1.0,1.1972742,288.49554,1497.8452,276.36987,9.282459,8.208866,73.70148,1.1267343,0.0035305023,452.47144,-3691.6538,311.11914,4002.773,810000
1.0233481,-7.782725,0.023348175,0.107804224,80.46481,0.99999994,-80.46481,1.0,0.6029079,118.61489,-126.54128,1032.5948,283.26752,1958.2599,302.50952,10.530609,0.04511281,2.276825,0.8078364,0.0018424988,436.58383,2.133668,305.0967,302.96304,1.0237553,-7.918423,0.02375527,0.14172867,88.81913,1.0,-88.81913,1.0,1.0021108,285.01785,1476.3147,292.89496,9.535141,7.627635,65.77777,1.1042753,0.0053901672,436.5682,-3308.1545,306.8462,3615.0007,840000
1.0233847,-7.794926,0.02338478,0.11085449,83.498566,0.99999994,-83.498566,1.0,0.6207639,265.42975,-345.9436,2374.191,277.1548,1857.3085,317.90576,5.3021207,0.06271728,3.91611,0.8231846,0.0036010742,437.47992,-5.563555,299.02878,304.59235,1.0238659,-7.9553156,0.023865946,0.15095174,86.195335,1.0,-86.195335,1.0,1.1112013,293.12042,2046.5952,278.33752,0.057647705,3.5948188,41.112305,1.1042571,0.005695343,437.4866,-1550.8108,314.99463,1865.8054,870000
1.0234052,-7.8017406,0.02340522,0.11255812,75.353485,1.0,-75.353485,1.0,0.6179763,179.81976,-313.88565,1214.016,296.9971,1622.7612,271.17377,1.265949,0.048708946,3.183136,0.7541466,0.0021209717,454.34048,0.58657867,319.7141,319.12753,1.0239096,-7.9698534,0.02390956,0.1545862,81.675644,1.0,-81.675644,1.0,0.8632956,311.2708,1390.3269,231.88269,8.902222,0.72164416,19.749847,0.92212236,0.0021438599,454.34134,-305.1557,333.98785,639.14355,900000
1.023339,-7.7796774,0.023339033,0.107042424,84.18864,0.99999994,-84.18864,1.0,0.6666719,123.44366,-82.10036,970.47675,288.10358,1644.141,294.70142,3.9936633,0.052763302,3.1576538,0.8285173,0.0018615723,438.20795,-1.2109005,310.01398,311.22488,1.0239236,-7.9745507,0.023923652,0.15576063,89.3884,1.0,-89.3884,1.0,1.0299788,289.828,1456.3594,276.78397,10.596817,13.525809,107.36014,1.1794839,0.0056476593,438.19125,-5904.9814,311.7378,6216.719,930000
1.0234268,-7.808933,0.023426801,0.11435619,80.91886,1.0,-80.91886,1.0,0.68028444,344.49048,-345.89325,1714.4246,282.1974,1835.2444,311.56976,3.9814758,0.05594077,3.0154724,0.8261744,0.0060272217,426.95853,-2.5364618,303.54532,306.0818,1.0239885,-7.9961724,0.023988517,0.16116601,91.46652,1.0,-91.46652,1.0,1.0607107,286.50134,1738.875,287.33966,9.317688,5.867517,46.633972,1.1479189,0.0072021484,427.09006,-2484.6035,307.85596,2792.4595,960000
1.023398,-7.7993374,0.023398014,0.11195734,78.150055,1.0,-78.150055,1.0,0.58303255,81.87036,-127.368904,782.5606,284.11508,1900.1942,311.59747,13.04084,0.045454238,2.7948074,0.79919124,0.0057373047,457.63327,2.0802925,306.99673,304.91644,1.023948,-7.9826345,0.023947904,0.15778157,86.87991,1.0,-86.87991,1.0,1.1198978,288.64716,1739.9639,274.678,10.100288,4.004157,52.62724,1.044799,0.0027589798,457.61276,-1809.4728,311.5277,2121.0005,990000
