training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0238848,-7.9616094,0.02388483,0.15252529,82.87738,1.0,-82.87738,1.0,0.6891508,46.803074,-46.30615,486.36957,432.9503,374.4272,68.8858,0.0,0.0631475,2.6856725,0.8211034,0.0025497715,224.24887,-2.9483118,444.16275,447.11105,1.0241112,-8.037052,0.024111155,0.17138587,79.4858,1.0,-79.4858,1.0,0.6846641,427.7152,405.06198,74.31656,0.0,0.05263494,2.2646518,0.79140043,0.001488564,224.24118,-0.5908618,438.92728,439.51813,30000
1.0240005,-8.000156,0.024000468,0.16216192,76.865746,1.0,-76.865746,1.0,0.56643987,39.27011,-48.75747,327.31418,420.9562,447.53223,81.374626,0.0,0.042709533,2.4228284,0.7875017,0.0025086277,230.64381,1.6815013,432.48837,430.8069,1.0242686,-8.089554,0.02426866,0.1845113,83.9189,1.0,-83.9189,1.0,0.60328937,424.61066,583.50745,77.82181,0.0,0.07149652,3.6533613,0.8055427,0.0036585862,230.6284,-4.957707,436.1421,441.0998,60000
1.0239804,-7.9934607,0.023980383,0.16048813,80.3625,1.0,-80.3625,1.0,0.4921214,323.32944,-201.48248,703.5588,427.47412,642.7914,74.921776,0.0,0.038168684,2.226784,0.7740678,0.0021064149,232.59947,2.7519581,439.1041,436.35214,1.0242114,-8.070478,0.024211437,0.17974268,85.84279,0.99999994,-85.84279,1.0,0.58048356,425.84537,700.8148,76.74063,0.0,0.13182566,7.843711,0.8575993,0.003792413,232.55545,-19.029003,437.47314,456.50214,90000
1.0236889,-7.896327,0.023688981,0.13620466,81.317215,0.99999994,-81.317215,1.0,0.52772814,126.238335,-85.589455,503.02435,423.36108,880.67834,81.995346,0.0,0.044763714,2.232162,0.7979212,0.0062878905,233.77722,1.2241246,435.04993,433.8258,1.024133,-8.044308,0.024132922,0.17319971,78.1553,1.0,-78.1553,1.0,0.52932096,425.69446,563.8456,76.76615,0.0,0.17641512,9.734387,0.873321,0.0037283222,233.77197,-29.55231,437.38306,466.93536,120000
1.0236183,-7.872772,0.023618318,0.13031608,77.680626,1.0,-77.680626,1.0,0.4818764,70.75943,-143.38194,445.65015,417.56647,984.12286,90.8306,0.0,0.041549757,2.5176957,0.7893497,0.0026375193,227.5024,1.9224507,428.9416,427.01913,1.0239724,-7.9908237,0.023972472,0.1598289,79.50232,0.99999994,-79.50232,1.0,0.6489521,423.87158,935.2806,81.86513,0.0,0.15914474,7.176693,0.85672265,0.0014940383,227.48221,-24.828487,435.2457,460.0742,150000
1.0236379,-7.879287,0.023637861,0.13194469,79.61488,1.0,-79.61488,1.0,0.48988643,277.70148,-212.86095,754.1381,425.8024,1013.08655,78.77832,0.0,0.044926923,2.7995102,0.7955651,0.0032653715,228.93297,1.1613948,437.24905,436.08765,1.0239649,-7.9882936,0.023964882,0.15919632,83.57009,1.0,-83.57009,1.0,0.52316034,418.5071,1032.5592,87.27983,0.0,0.09143585,3.9733434,0.8287176,0.0043125055,228.92479,-9.485693,429.95337,439.43906,180000
1.0235099,-7.8366156,0.023509847,0.12127684,82.91037,1.0,-82.91037,1.0,0.4852708,397.5331,-95.2776,899.6974,424.91913,1153.8585,85.467186,0.0,0.049018167,2.4506147,0.8239877,0.0063219066,226.16043,0.22205195,436.22714,436.0051,1.023946,-7.981995,0.023945987,0.15762177,83.390945,1.0,-83.390945,1.0,0.6154022,420.7669,1079.303,87.54297,0.0,0.47524914,16.526033,0.8776524,0.0030288694,226.17618,-96.18122,432.07574,528.25696,210000
1.0235093,-7.83643,0.02350929,0.12123048,81.68106,1.0,-81.68106,1.0,0.5053837,190.56535,-119.07269,563.4889,417.89825,1234.6028,93.73349,0.0,0.058961816,2.2943497,0.8415838,0.004840851,228.14008,-2.0445492,429.30524,431.3498,1.0239393,-7.9797564,0.023939269,0.15706198,88.14007,1.0,-88.14007,1.0,0.5565561,423.05383,1158.6571,83.91148,0.0,0.09912948,4.7099934,0.84937894,0.0059804916,228.13976,-11.208388,434.46085,445.66922,240000
1.0235493,-7.8497825,0.023549348,0.12456858,83.05672,1.0,-83.05672,1.0,0.5024621,82.374245,-112.554405,494.82907,416.33728,1293.457,95.60582,0.0,0.047564443,2.3087358,0.78622276,0.0037765503,226.21608,0.55096227,427.64807,427.0971,1.0238727,-7.957561,0.023872683,0.1515132,88.66291,1.0,-88.66291,1.0,0.607749,415.96826,1157.4125,90.57701,0.0,0.71562004,16.618011,0.9173808,0.0036616325,226.24663,-150.59428,427.28058,577.8749,270000
1.0234804,-7.8267975,0.023480393,0.118822336,83.33892,1.0,-83.33892,1.0,0.48970506,65.45935,-63.73536,348.3989,418.11398,1260.9382,93.17923,0.0,0.0414209,2.23172,0.801648,0.0024642944,231.171,1.9832395,429.67255,427.6893,1.0239451,-7.9817123,0.023945138,0.15755096,86.48228,1.0,-86.48228,1.0,0.6001244,412.06305,1192.423,97.646904,0.0,0.5590557,10.923979,0.95380354,0.0030059814,231.14697,-117.66668,423.62042,541.2871,300000
