training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/dynamics/dynamics_loss,training/grad/max,training/grad/min,training/grad/norm,training/value/d_neg_loss,training/value/d_neg_max,training/value/d_neg_mean,training/value/d_neg_min,training/value/d_pos_loss,training/value/d_pos_max,training/value/d_pos_mean,training/value/d_pos_min,training/value/lam,training/value/lam_loss,training/value/total_loss,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/dynamics/dynamics_loss,validation/value/d_neg_loss,validation/value/d_neg_max,validation/value/d_neg_mean,validation/value/d_neg_min,validation/value/d_pos_loss,validation/value/d_pos_max,validation/value/d_pos_mean,validation/value/d_pos_min,validation/value/lam,validation/value/lam_loss,validation/value/total_loss,validation/value/value_loss,step
1.0244025,-8.134184,0.024402555,0.19566911,20.023464,0.99999994,-20.023464,1.0,0.692662,2221.94,-2322.794,12240.672,318.75565,656.5799,190.90723,3.8378377,0.14424649,6.390643,0.7036711,0.0043928395,741.54016,-69.88756,355.83264,425.7202,1.024623,-8.207716,0.024623148,0.21405208,19.558031,0.9999999,-19.558031,1.0,0.6665921,324.42685,616.02795,184.3581,6.105685,0.06305529,3.8212695,0.6793169,0.009198451,741.7573,-9.683858,361.5147,371.19858,30000
1.0252185,-8.406198,0.025218595,0.26367247,20.896679,0.99999994,-20.896679,1.0,0.64221305,553.7884,-368.6951,2665.5999,261.44696,975.6935,268.72302,1.5407732,0.028871275,2.899937,0.66713,0.01583495,727.1452,15.363651,297.80423,282.44058,1.025431,-8.477018,0.025431056,0.28137767,20.588264,0.99999994,-20.588264,1.0,0.6708564,277.24643,1007.3276,248.6972,4.165141,0.08920926,6.7962337,0.685506,0.0055931066,727.1503,-28.511024,313.60397,342.115,60000
1.0260539,-8.68465,0.026053952,0.33328557,19.535381,0.99999994,-19.535381,1.0,0.68122464,384.94632,-344.77267,2647.1323,243.76605,1058.3213,299.22943,0.96728784,0.038625088,2.829191,0.68482953,0.010443228,713.3774,8.114606,279.4349,271.3203,1.0261543,-8.718141,0.026154421,0.34165812,21.546135,0.9999999,-21.546135,1.0,0.6826215,263.10114,1038.569,273.2918,1.6856534,0.46043438,17.933914,0.7040123,0.0,713.37024,-292.79166,298.76962,591.5613,90000
1.0262775,-8.759196,0.02627759,0.35192212,21.039412,0.99999994,-21.039412,1.0,0.72639847,457.04977,-449.07956,4047.3013,230.03488,1130.4733,326.70413,1.5747906,0.06681478,6.501706,0.6800709,0.0017914613,697.2652,-11.72436,264.89813,276.6225,1.0264744,-8.824789,0.026474368,0.36832035,22.308094,0.99999994,-22.308094,1.0,0.75289005,243.98495,1119.0697,303.49628,6.421195,0.88338923,21.133814,0.7684962,0.0037610435,697.2669,-581.0947,278.84827,859.943,120000
1.0261933,-8.731144,0.026193433,0.34490895,19.132286,0.9999999,-19.132286,1.0,0.713152,520.1104,-452.06598,2490.2075,214.22983,1199.3076,370.53546,1.393659,0.04205327,3.118433,0.6881803,0.00623774,659.8308,5.243497,247.22137,241.97787,1.0264372,-8.8124275,0.026437283,0.36522985,22.28627,0.9999999,-22.28627,1.0,0.8325711,225.6883,1200.8289,346.23538,13.3520775,0.6860835,25.878347,0.75496787,0.003155916,659.81824,-419.6995,258.67917,678.37866,150000
1.0267105,-8.903547,0.026710644,0.38800988,21.256424,0.9999999,-21.256424,1.0,0.70372784,306.424,-281.47067,2173.4712,207.86046,1216.3182,376.27084,2.3583703,0.036727957,3.0265203,0.6708761,0.0076335515,641.0904,8.508579,239.91498,231.4064,1.0266023,-8.867457,0.026602373,0.37898737,23.760517,0.99999994,-23.760517,1.0,0.8349534,215.2825,1206.8964,364.3805,6.1965456,0.73824847,16.762144,0.78414834,0.0,641.0785,-441.22128,247.33646,688.55774,180000
1.0265855,-8.861874,0.026585622,0.3775915,18.948898,0.9999999,-18.948898,1.0,0.7381487,437.53424,-360.17136,3424.7488,213.06493,1203.2148,365.21277,0.3247291,0.053966746,5.208213,0.65168464,0.0,640.6644,-2.5413525,245.09814,247.6395,1.0267135,-8.904505,0.026713515,0.38824913,22.523693,0.99999994,-22.523693,1.0,0.8301762,226.62949,1168.543,337.13898,5.784441,1.721884,28.846418,0.7936199,0.0,640.6632,-1071.1146,258.6626,1329.7772,210000
1.0263488,-8.782963,0.02634889,0.35786384,17.852148,0.9999999,-17.852148,1.0,0.75714386,732.48334,-849.23816,4521.65,181.74005,1270.5648,462.67395,3.0713782,0.038618598,3.1155624,0.64437664,0.0016948299,599.7881,6.82643,211.72946,204.90303,1.0264908,-8.830304,0.026490912,0.36969906,23.101908,0.99999994,-23.101908,1.0,0.90116185,188.28305,1266.0328,439.68723,2.6190553,2.4177046,40.301903,0.8095926,0.0,599.77435,-1420.0885,218.27173,1638.3602,240000
1.026662,-8.887375,0.026662122,0.38396662,20.057121,0.9999999,-20.057121,1.0,0.6725525,368.58963,-317.5087,2142.9429,178.5581,1306.9568,489.31308,1.5983917,0.03557852,3.0736918,0.66122997,0.0,576.44214,8.313149,207.38022,199.06706,1.0268483,-8.949475,0.026848424,0.3994916,20.363735,0.9999999,-20.363735,1.0,0.9959656,190.41772,1272.5743,450.3498,0.40668687,1.3937796,21.883171,0.8108614,0.0014742352,576.4075,-774.56464,219.2381,993.80273,270000
1.0267625,-8.920872,0.026762614,0.39234078,18.97052,0.9999999,-18.97052,1.0,0.72448504,593.76465,-565.7986,3200.299,181.72865,1229.3368,453.77988,4.005139,0.03640391,4.2418265,0.6623507,0.0054462473,607.47516,8.259288,212.10242,203.84312,1.0268306,-8.943546,0.026830638,0.39800942,22.441082,0.99999994,-22.441082,1.0,0.9532944,193.1426,1241.358,430.02365,6.3409286,2.6180046,34.278503,0.8999187,0.0,607.47455,-1559.9974,223.51624,1783.5137,300000
1.0267749,-8.925003,0.026775008,0.3933736,19.549381,0.9999999,-19.549381,1.0,0.7814094,359.58014,-478.08954,2332.2917,160.46255,1317.3096,531.70215,10.432636,0.026383702,2.8564484,0.6501504,0.0,555.5352,13.119686,188.23932,175.11963,1.027026,-9.008711,0.027026132,0.41430065,22.518034,0.99999994,-22.518034,1.0,0.95957386,174.46326,1320.1119,497.7616,5.4400587,1.0690956,22.593735,0.7829079,0.0,555.4905,-566.09796,202.23773,768.3357,330000
1.0270467,-9.015619,0.02704686,0.4160278,18.285664,0.9999999,-18.285664,1.0,0.73655915,674.3242,-696.5208,4506.7617,174.11469,1323.1053,482.0051,14.518743,0.04787507,4.0794187,0.6630949,0.0,574.1121,1.219949,202.8203,201.60034,1.0268368,-8.9456005,0.026836801,0.39852297,21.646095,0.99999994,-21.646095,1.0,1.0632727,183.08556,1296.7168,456.20898,0.5593265,5.606912,49.918175,0.9542134,0.0,574.11017,-3190.2795,211.79126,3402.0708,360000
1.0271262,-9.042109,0.027126327,0.42265016,17.037712,0.9999999,-17.037712,1.0,0.95674187,1574.034,-1704.2145,10926.369,186.48859,1230.771,434.9505,3.7611969,0.197467,7.3183327,0.7959434,0.0,533.3713,-78.65466,213.15717,291.81183,1.0271016,-9.033924,0.027101774,0.42060417,20.41514,0.9999999,-20.41514,1.0,1.0928953,203.15332,1235.0215,399.22058,6.8065324,1.617948,23.568014,0.96849644,0.0,533.5669,-836.6052,229.83154,1066.4368,390000
1.0267646,-8.921566,0.026764696,0.3925143,18.857357,0.9999999,-18.857357,1.0,0.8567037,347.0982,-482.37656,2807.8767,155.74608,1386.8173,555.31226,6.6857944,0.04379375,3.9844646,0.65436584,0.0,550.7622,3.4181688,183.2842,179.86603,1.0272962,-9.098771,0.027296312,0.43681568,20.855576,0.9999999,-20.855576,1.0,1.1010089,168.3289,1340.8163,511.90747,8.565093,1.1191983,18.523693,0.81424856,0.0,550.7441,-588.8547,195.86609,784.72076,420000
